pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
XO-2 S d,XO-2 S,2024,Radial Velocity,4696.0,0.091,0.028,-0.018,1.16,3.71,0.98,5325.0
Kepler-1808 b,Kepler-1808,2021,Transit,23.3404007,0.0,,,0.26988297,0.0296,0.773,5530.0
Kepler-418 b,Kepler-418,2014,Transit,86.67856,0.2,0.11,-0.11,1.2,1.1,0.98,5820.0
Kepler-249 d,Kepler-249,2014,Transit,15.368459,0.0,,,0.14,0.00972,0.510238,3568.0
Kepler-1408 b,Kepler-1408,2016,Transit,2.99793191,0.0,,,0.07940048,0.00201,1.21,6170.0
Kepler-500 b,Kepler-500,2016,Transit,8.508324398,0.0,,,0.23017218,0.0226,1.02,5813.0
CoRoT-17 b,CoRoT-17,2011,Transit,3.7681,0.0,,,1.02,2.43,1.04,5740.0
Kepler-1685 b,Kepler-1685,2020,Transit,20.4905,0.0,,,0.22988133,0.0225,0.96,5484.0
Kepler-296 b,Kepler-296,2014,Transit,10.864384,0.33,,,0.14363458,0.0101,0.498,3740.0
TOI-4377 b,TOI-4377,2023,Transit,4.378081,0.045,0.053,-0.032,1.348,0.957,1.36,4974.0
HD 64114 b,HD 64114,2019,Radial Velocity,45.791,0.12,0.08,-0.08,0.393,0.05600478,0.95,5676.0
TOI-858 B b,TOI-858 B,2023,Transit,3.2797178,0.15,,,1.255,1.1,1.081,5842.0
HD 27969 b,HD 27969,2021,Radial Velocity,654.5,0.182,0.019,-0.019,1.15,4.8,1.16,5966.0
Kepler-1947 b,Kepler-1947,2021,Transit,6.963630199,0.0,,,0.09012118,0.00317,0.984,6040.0
Kepler-81 d,Kepler-81,2014,Transit,20.837846,0.0,,,0.108,0.00606,0.648,4500.0
Kepler-900 b,Kepler-900,2016,Transit,6.9913086,0.0,,,0.18556517,0.0157,0.78,4836.0
TOI-1296 b,TOI-1296,2021,Transit,3.9443736,0.0,,,1.2593883,0.29984733,1.1576,5567.0
HD 24040 b,HD 24040,2006,Radial Velocity,3668.0,0.04,0.06,-0.06,1.15,5.0,1.11,5802.0
Kepler-638 b,Kepler-638,2016,Transit,6.07972888,0.0,,,0.16326166,0.0126,0.88,5382.0
Kepler-375 b,Kepler-375,2014,Transit,12.125934,0.0,,,0.129,0.00849,0.891,5826.0
Kepler-1590 b,Kepler-1590,2016,Transit,7.61760804,0.0,,,0.10170399,0.00489,1.11,6053.0
Kepler-666 b,Kepler-666,2016,Transit,4.49876092,0.0,,,0.21411366,0.02,1.03,5887.0
Kepler-586 b,Kepler-586,2016,Transit,2.104722184,0.0,,,0.24890713,0.0258,0.94,5575.0
HD 180053 b,HD 180053,2018,Radial Velocity,213.72,0.081,0.029,-0.029,1.19,2.194,1.75,5131.0
Kepler-1827 b,Kepler-1827,2021,Transit,3.700619936,0.0,,,0.16562103,0.0129,0.915,5423.0
Kepler-83 b,Kepler-83,2012,Transit,9.77,0.0,,,0.252,0.00925027,0.66,4082.0
TOI-1410 c,TOI-1410,2024,Radial Velocity,47.56,0.0,,,0.502,0.0849515,0.7941,4635.0
Kepler-578 b,Kepler-578,2016,Transit,1.616883696,0.0,,,0.17842805,0.0147,0.87,5334.0
TOI-3807 b,TOI-3807,2023,Transit,2.8989727,0.0,,,1.65,1.04,1.181,5772.0
Kepler-239 b,Kepler-239,2014,Transit,11.763051,0.0,,,0.208,0.019,0.757,4914.0
Kepler-1812 b,Kepler-1812,2021,Transit,7.165219784,0.0,,,0.20741783,0.0189,1.162,6174.0
HD 191939 c,HD 191939,2020,Transit,28.579743,0.034,0.034,-0.013,0.2850393,0.02517081,0.81,5348.0
Kepler-931 b,Kepler-931,2016,Transit,8.03755877,0.0,,,0.11865465,0.00733,0.86,5241.0
Kepler-501 c,Kepler-501,2021,Transit,3.622760057,0.0,,,0.14998664,0.0109,1.032,5794.0
Kepler-1664 b,Kepler-1664,2020,Transit,14.3868,0.0,,,0.27060456,0.0297,0.944,5735.81
WASP-105 b,WASP-105,2017,Transit,7.87288,0.0,,,0.96,1.8,0.89,5070.0
Kepler-58 b,Kepler-58,2012,Transit,10.2184954,0.04,0.044,-0.031,0.248,0.11169549,0.95,5843.0
GJ 887 b,GJ 887,2020,Radial Velocity,9.2619,0.14,0.06,-0.06,0.161,0.01227077,0.495,3688.0
TOI-1759 b,TOI-1759,2022,Transit,18.85019,0.0,,,0.28013252,0.0339806,0.606,4065.0
HIP 70849 b,HIP 70849,2011,Radial Velocity,3649.0,0.65,0.02,-0.01,1.15,4.5,0.65,4105.0
KOI-142 b,KOI-142,2013,Transit,10.91647,0.05561,0.00013,-0.00013,0.30671782,0.03,0.99,5466.0
Barnard c,Barnard's star,2025,Radial Velocity,4.1244,0.08,0.06,-0.05,0.0663,0.00105403,0.162,3195.0
HATS-62 b,HATS-62,2018,Transit,3.2768837,0.298,,,1.055,0.179,0.896,5416.0
Kepler-1350 c,Kepler-1350,2016,Transit,1.766789062,0.0,,,0.15434026,0.0115,0.55,3827.0
TOI-1410.01,TOI-1410,2024,Transit,1.21687,0.0,,,0.27663801,0.0393294,0.7941,4635.0
TOI-5110 b,TOI-5110,2024,Transit,30.158577,0.745,0.03,-0.027,1.069,2.9,1.469,6160.0
GJ 229 A c,GJ 229,2020,Radial Velocity,121.93268,0.366,0.065,-0.063,0.256,0.027,0.509,3564.0
Kepler-341 c,Kepler-341,2014,Transit,8.01041,0.0,,,0.152,0.0111,0.976,6012.0
TOI-791 c,TOI-791,2026,Transit,232.0157,0.028,0.013,-0.028,1.155,0.05852214,1.28,6294.0
Kepler-590 b,Kepler-590,2016,Transit,5.85296257,0.0,,,0.35864038,0.0479,1.1,6000.0
HD 180902 b,HD 180902,2009,Radial Velocity,510.9,0.107,0.022,-0.022,1.2,1.685,1.41,4961.0
Qatar-7 b,Qatar-7,2019,Transit,2.032046,0.0,,,1.7,1.88,1.409,6387.0
TOI-5624 e,TOI-5624,2026,Transit,21.489936,0.0,,,0.28967844,0.02800253,0.858,5327.0
Kepler-764 b,Kepler-764,2016,Transit,7.33683936,0.0,,,0.146311,0.0105,0.92,5557.0
TOI-7166 b,TOI-7166,2025,Transit,12.92063621,0.0,,,0.1793205,0.0148,0.19,3099.0
TOI-6695 b,TOI-6695,2025,Transit,80.389,0.04,0.006,-0.007,0.85,0.21,1.338,6400.0
GJ 3998 b,GJ 3998,2016,Radial Velocity,2.65033,0.0,,,0.124,0.00786588,0.52,3726.0
Kepler-656 b,Kepler-656,2016,Transit,1.260259094,0.0,,,0.27834776,0.0312,0.86,5281.0
Kepler-751 b,Kepler-751,2016,Transit,17.44490636,0.0,,,0.2194665,0.0208,0.87,5387.0
HD 207496 b,HD 207496,2023,Transit,6.441008,0.231,0.042,-0.049,0.2007319,0.01919275,0.8,4819.0
Kepler-276 d,Kepler-276,2013,Transit,48.648,0.0,,,0.25,0.051,1.1,5693.0
WASP-37 b,WASP-37,2010,Transit,3.577469,0.0,,,1.16,1.8,0.925,5800.0
TOI-1203 e,TOI-1203,2025,Radial Velocity,204.59,0.152,0.029,-0.029,0.653,0.13246141,0.886,5737.0
Kepler-122 f,Kepler-122,2014,Transit Timing Variations,56.268,0.0,,,0.156,0.113,1.03,5917.0
Kepler-397 c,Kepler-397,2014,Transit,135.498527,0.0,,,0.551,0.0995,0.844,5307.0
Kepler-1503 b,Kepler-1503,2016,Transit,96.16987,0.0,,,0.20251584,0.0182,0.77,5069.0
TOI-1776 b,TOI-1776,2024,Transit,2.799868,0.0,,,0.10849581,0.00440489,0.9196,5785.0
Kepler-1781 b,Kepler-1781,2021,Transit,4.88752985,0.0,,,0.21241095,0.0197,1.053,5568.0
HAT-P-40 b,HAT-P-40,2012,Transit,4.45724,0.0,,,1.52,0.48,1.03,6080.0
HD 81688 b,HD 81688,2007,Radial Velocity,183.93,0.04,0.022,-0.031,1.2,1.654,1.07,4797.0
K2-19 d,K2-19,2016,Transit,2.50827,0.44,,,0.0931396,0.01950738,0.892,5350.0
Kepler-1309 b,Kepler-1309,2016,Transit,28.8432647,0.0,,,0.21143724,0.0195,0.85,5235.0
