u_g_approx,g_r_approx,pixel_x,pixel_y,class
-2.2252419354838713,2.0525471698113207,108,63,QSO
-2.2334005376344086,2.0431446540880502,107,64,QSO
-2.2089247311827958,2.0431446540880502,110,64,QSO
-2.2252419354838713,2.03374213836478,108,65,QSO
-2.2007661290322584,2.03374213836478,111,65,QSO
-2.2170833333333335,2.0243396226415094,109,66,QSO
-2.2252419354838713,2.014937106918239,108,67,QSO
1.176895161290323,2.0055345911949685,525,68,QSO
1.1687365591397851,1.996132075471698,524,69,QSO
1.193212365591398,1.996132075471698,527,69,QSO
1.176895161290323,1.9867295597484276,525,70,QSO
1.2013709677419357,1.9867295597484276,528,70,QSO
1.1850537634408602,1.9773270440251571,526,71,QSO
1.176895161290323,1.9679245283018867,525,72,QSO
2.9065188172043013,1.6482389937106916,737,106,QSO
2.898360215053763,1.6388364779874212,736,107,QSO
2.922836021505376,1.6388364779874212,739,107,QSO
2.9065188172043013,1.6294339622641507,737,108,QSO
2.930994623655914,1.6294339622641507,740,108,QSO
2.9146774193548386,1.6200314465408803,738,109,QSO
2.9065188172043013,1.6106289308176098,737,110,QSO
-1.2135752688172043,1.460188679245283,232,126,QSO
-1.221733870967742,1.4507861635220125,231,127,QSO
-1.197258064516129,1.4507861635220125,234,127,QSO
-1.2135752688172043,1.441383647798742,232,128,QSO
-1.1890994623655915,1.441383647798742,235,128,QSO
-1.2054166666666668,1.4319811320754716,233,129,QSO
-1.2135752688172043,1.4225786163522012,232,130,QSO
0.9566129032258068,1.39437106918239,498,133,QSO
0.9484543010752691,1.3849685534591196,497,134,QSO
0.9729301075268819,1.3849685534591196,500,134,QSO
0.9810887096774197,1.3755660377358492,501,135,QSO
0.4589381720430108,1.1875157232704403,437,155,QSO
0.45077956989247303,1.1781132075471699,436,156,QSO
0.43446236559139795,1.1687106918238994,434,157,QSO
0.4589381720430108,1.1687106918238994,437,157,QSO
0.4426209677419357,1.159308176100629,435,158,QSO
0.46709677419354856,1.159308176100629,438,158,QSO
0.4589381720430108,1.1499056603773585,437,159,QSO
0.9239784946236558,1.0934905660377356,494,165,QSO
0.9076612903225802,1.0840880503144652,492,166,QSO
0.9321370967741931,1.0840880503144652,495,166,QSO
0.9076612903225802,1.0746855345911948,492,167,QSO
0.9321370967741931,1.0746855345911948,495,167,QSO
0.9076612903225802,1.0652830188679243,492,168,QSO
0.9321370967741931,1.0652830188679243,495,168,QSO
0.915819892473118,1.0558805031446539,493,169,QSO
0.8913440860215052,1.018270440251572,490,173,QSO
0.8831854838709674,1.0088679245283017,489,174,QSO
0.9076612903225802,1.0088679245283017,492,174,QSO
0.8995026881720425,0.9994654088050312,491,175,QSO
0.8995026881720425,0.9900628930817608,491,176,QSO
0.8995026881720425,0.9806603773584903,491,177,QSO
0.7200134408602148,0.8960377358490565,469,186,QSO
0.7036962365591397,0.8866352201257861,467,187,QSO
0.7281720430107526,0.8866352201257861,470,187,QSO
0.7036962365591397,0.8772327044025157,467,188,QSO
0.7281720430107526,0.8772327044025157,470,188,QSO
0.711854838709677,0.8678301886792452,468,189,QSO
0.7363306451612903,0.8678301886792452,471,189,QSO
0.7281720430107526,0.8584276729559748,470,190,QSO
0.8342338709677417,0.8114150943396226,483,195,QSO
0.826075268817204,0.8020125786163521,482,196,QSO
0.4997311827956987,0.7926100628930817,442,197,QSO
0.5486827956989249,0.7926100628930817,448,197,QSO
0.8097580645161289,0.7926100628930817,480,197,QSO
0.8342338709677417,0.7926100628930817,483,197,QSO
0.3447177419354839,0.7832075471698112,423,198,QSO
0.4997311827956987,0.7832075471698112,442,198,QSO
0.524206989247312,0.7832075471698112,445,198,QSO
0.5568413978494622,0.7832075471698112,449,198,QSO
0.8097580645161289,0.7832075471698112,480,198,QSO
0.8342338709677417,0.7832075471698112,483,198,QSO
0.3365591397849461,0.7738050314465408,422,199,QSO
0.36103494623655896,0.7738050314465408,425,199,QSO
0.5078897849462365,0.7738050314465408,443,199,QSO
0.5405241935483871,0.7738050314465408,447,199,QSO
0.565,0.7738050314465408,450,199,QSO
0.826075268817204,0.7738050314465408,482,199,QSO
0.3365591397849461,0.7644025157232703,422,200,QSO
0.36103494623655896,0.7644025157232703,425,200,QSO
0.5078897849462365,0.7644025157232703,443,200,QSO
0.5405241935483871,0.7644025157232703,447,200,QSO
0.565,0.7644025157232703,450,200,QSO
0.3365591397849461,0.7549999999999999,422,201,QSO
0.36103494623655896,0.7549999999999999,425,201,QSO
0.5160483870967743,0.7549999999999999,444,201,QSO
0.565,0.7549999999999999,450,201,QSO
0.3528763440860212,0.7455974842767294,424,202,QSO
0.6629032258064513,0.736194968553459,462,203,QSO
0.7444892473118276,0.7267924528301886,472,204,QSO
0.7363306451612903,0.7173899371069181,471,205,QSO
0.7608064516129032,0.7173899371069181,474,205,QSO
0.5405241935483871,0.7079874213836477,447,206,QSO
0.7444892473118276,0.7079874213836477,472,206,QSO
0.7689650537634405,0.7079874213836477,475,206,QSO
0.4099865591397851,0.6985849056603772,431,207,QSO
0.5405241935483871,0.6985849056603772,447,207,QSO
0.7363306451612903,0.6985849056603772,471,207,QSO
0.7608064516129032,0.6985849056603772,474,207,QSO
0.3936693548387096,0.6891823899371068,429,208,QSO
0.41814516129032286,0.6891823899371068,432,208,QSO
0.5405241935483871,0.6891823899371068,447,208,QSO
0.7444892473118276,0.6891823899371068,472,208,QSO
0.38551075268817225,0.6797798742138363,428,209,QSO
0.4099865591397851,0.6797798742138363,431,209,QSO
0.5323655913978493,0.6797798742138363,446,209,QSO
0.5568413978494622,0.6797798742138363,449,209,QSO
0.40182795698924734,0.6703773584905659,430,210,QSO
0.5323655913978493,0.6703773584905659,446,210,QSO
0.6384274193548385,0.6703773584905659,459,210,QSO
0.3936693548387096,0.6609748427672955,429,211,QSO
0.6302688172043012,0.6609748427672955,458,211,QSO
0.654744623655914,0.6609748427672955,461,211,QSO
0.06732526881720435,0.651572327044025,389,212,QSO
0.32840053763440835,0.651572327044025,421,212,QSO
0.5976344086021506,0.651572327044025,454,212,QSO
0.6384274193548385,0.651572327044025,459,212,QSO
0.6629032258064513,0.651572327044025,462,212,QSO
0.06732526881720435,0.6421698113207546,389,213,QSO
0.2549731182795698,0.6421698113207546,412,213,QSO
0.31208333333333327,0.6421698113207546,419,213,QSO
0.3365591397849461,0.6421698113207546,422,213,QSO
0.4752553763440859,0.6421698113207546,439,213,QSO
0.5894758064516128,0.6421698113207546,453,213,QSO
0.6139516129032256,0.6421698113207546,456,213,QSO
0.6465860215053763,0.6421698113207546,460,213,QSO
0.05100806451612927,0.6327672955974841,387,214,QSO
0.24681451612903205,0.6327672955974841,411,214,QSO
0.2712903225806449,0.6327672955974841,414,214,QSO
0.3202419354838706,0.6327672955974841,420,214,QSO
0.3447177419354839,0.6327672955974841,423,214,QSO
0.4752553763440859,0.6327672955974841,439,214,QSO
0.581317204301075,0.6327672955974841,452,214,QSO
0.6057930107526879,0.6327672955974841,455,214,QSO
0.6465860215053763,0.6327672955974841,460,214,QSO
0.05916666666666659,0.6233647798742137,388,215,QSO
0.2631317204301076,0.6233647798742137,413,215,QSO
0.31208333333333327,0.6233647798742137,419,215,QSO
0.3365591397849461,0.6233647798742137,422,215,QSO
0.46709677419354856,0.6233647798742137,438,215,QSO
0.4915725806451614,0.6233647798742137,441,215,QSO
0.5976344086021506,0.6233647798742137,454,215,QSO
0.05916666666666659,0.6139622641509432,388,216,QSO
0.2631317204301076,0.6139622641509432,413,216,QSO
0.3202419354838706,0.6139622641509432,420,216,QSO
0.45077956989247303,0.6139622641509432,436,216,QSO
0.4752553763440859,0.6139622641509432,439,216,QSO
0.5894758064516128,0.6139622641509432,453,216,QSO
0.654744623655914,0.6139622641509432,461,216,QSO
0.2549731182795698,0.6045597484276728,412,217,QSO
0.45077956989247303,0.6045597484276728,436,217,QSO
0.4752553763440859,0.6045597484276728,439,217,QSO
0.6465860215053763,0.6045597484276728,460,217,QSO
0.6710618279569891,0.6045597484276728,463,217,QSO
0.7036962365591397,0.6045597484276728,467,217,QSO
-0.11216397849462378,0.5951572327044024,367,218,QSO
0.4589381720430108,0.5951572327044024,437,218,QSO
0.48341397849462364,0.5951572327044024,440,218,QSO
0.6629032258064513,0.5951572327044024,462,218,QSO
0.6873790322580642,0.5951572327044024,465,218,QSO
0.711854838709677,0.5951572327044024,468,218,QSO
-0.12032258064516155,0.5857547169811319,366,219,QSO
-0.0958467741935487,0.5857547169811319,369,219,QSO
0.45077956989247303,0.5857547169811319,436,219,QSO
0.4752553763440859,0.5857547169811319,439,219,QSO
0.6629032258064513,0.5857547169811319,462,219,QSO
0.6873790322580642,0.5857547169811319,465,219,QSO
0.711854838709677,0.5857547169811319,468,219,QSO
-0.12032258064516155,0.5763522012578615,366,220,QSO
-0.0958467741935487,0.5763522012578615,369,220,QSO
0.43446236559139795,0.5763522012578615,434,220,QSO
0.4589381720430108,0.5763522012578615,437,220,QSO
0.565,0.5763522012578615,450,220,QSO
0.654744623655914,0.5763522012578615,461,220,QSO
0.6792204301075269,0.5763522012578615,464,220,QSO
0.7036962365591397,0.5763522012578615,467,220,QSO
-0.12848118279569887,0.566949685534591,365,221,QSO
-0.10400537634408602,0.566949685534591,368,221,QSO
0.1733870967741935,0.566949685534591,402,221,QSO
0.31208333333333327,0.566949685534591,419,221,QSO
0.41814516129032286,0.566949685534591,432,221,QSO
0.4426209677419357,0.566949685534591,435,221,QSO
0.5486827956989249,0.566949685534591,448,221,QSO
0.5731586021505377,0.566949685534591,451,221,QSO
0.654744623655914,0.566949685534591,461,221,QSO
0.695537634408602,0.566949685534591,466,221,QSO
-0.177432795698925,0.5575471698113206,359,222,QSO
-0.12032258064516155,0.5575471698113206,366,222,QSO
0.15706989247311842,0.5575471698113206,400,222,QSO
0.18154569892473127,0.5575471698113206,403,222,QSO
0.2223387096774192,0.5575471698113206,408,222,QSO
0.3039247311827955,0.5575471698113206,418,222,QSO
0.32840053763440835,0.5575471698113206,421,222,QSO
0.4263037634408602,0.5575471698113206,433,222,QSO
0.4915725806451614,0.5575471698113206,441,222,QSO
0.5160483870967743,0.5575471698113206,444,222,QSO
0.5568413978494622,0.5575471698113206,449,222,QSO
0.6384274193548385,0.5575471698113206,459,222,QSO
0.6629032258064513,0.5575471698113206,462,222,QSO
-0.177432795698925,0.5481446540880501,359,223,QSO
-0.15295698924731216,0.5481446540880501,362,223,QSO
0.1733870967741935,0.5481446540880501,402,223,QSO
0.20602150537634412,0.5481446540880501,406,223,QSO
0.23049731182795696,0.5481446540880501,409,223,QSO
0.27944892473118266,0.5481446540880501,415,223,QSO
0.3039247311827955,0.5481446540880501,418,223,QSO
0.32840053763440835,0.5481446540880501,421,223,QSO
0.4263037634408602,0.5481446540880501,433,223,QSO
0.4915725806451614,0.5481446540880501,441,223,QSO
0.5160483870967743,0.5481446540880501,444,223,QSO
0.5568413978494622,0.5481446540880501,449,223,QSO
0.6465860215053763,0.5481446540880501,460,223,QSO
-0.18559139784946233,0.5387421383647799,358,224,QSO
-0.16111559139784948,0.5387421383647799,361,224,QSO
0.05100806451612927,0.5387421383647799,387,224,QSO
0.16522849462365574,0.5387421383647799,401,224,QSO
0.1897043010752686,0.5387421383647799,404,224,QSO
0.2223387096774192,0.5387421383647799,408,224,QSO
0.2631317204301076,0.5387421383647799,413,224,QSO
0.2876075268817204,0.5387421383647799,416,224,QSO
0.31208333333333327,0.5387421383647799,419,224,QSO
0.41814516129032286,0.5387421383647799,432,224,QSO
0.4915725806451614,0.5387421383647799,441,224,QSO
0.5160483870967743,0.5387421383647799,444,224,QSO
0.565,0.5387421383647799,450,224,QSO
-0.16927419354838724,0.5293396226415095,360,225,QSO
0.03469086021505374,0.5293396226415095,385,225,QSO
0.05916666666666659,0.5293396226415095,388,225,QSO
0.1733870967741935,0.5293396226415095,402,225,QSO
0.21418010752688144,0.5293396226415095,407,225,QSO
0.23865591397849473,0.5293396226415095,410,225,QSO
0.27944892473118266,0.5293396226415095,415,225,QSO
0.3039247311827955,0.5293396226415095,418,225,QSO
0.4997311827956987,0.5293396226415095,442,225,QSO
0.524206989247312,0.5293396226415095,445,225,QSO
-0.16927419354838724,0.519937106918239,360,226,QSO
0.042849462365591506,0.519937106918239,386,226,QSO
0.06732526881720435,0.519937106918239,389,226,QSO
0.16522849462365574,0.519937106918239,401,226,QSO
0.23049731182795696,0.519937106918239,409,226,QSO
0.27944892473118266,0.519937106918239,415,226,QSO
0.4997311827956987,0.519937106918239,442,226,QSO
0.524206989247312,0.519937106918239,445,226,QSO
0.6302688172043012,0.519937106918239,458,226,QSO
0.05100806451612927,0.5105345911949686,387,227,QSO
0.1407526881720429,0.5105345911949686,398,227,QSO
0.16522849462365574,0.5105345911949686,401,227,QSO
0.27944892473118266,0.5105345911949686,415,227,QSO
0.5078897849462365,0.5105345911949686,443,227,QSO
0.5976344086021506,0.5105345911949686,454,227,QSO
0.6221102150537634,0.5105345911949686,457,227,QSO
0.8668682795698923,0.5105345911949686,487,227,QSO
0.042849462365591506,0.5011320754716981,386,228,QSO
0.1407526881720429,0.5011320754716981,398,228,QSO
0.16522849462365574,0.5011320754716981,401,228,QSO
0.4915725806451614,0.5011320754716981,441,228,QSO
0.5160483870967743,0.5011320754716981,444,228,QSO
0.6057930107526879,0.5011320754716981,455,228,QSO
0.8668682795698923,0.5011320754716981,487,228,QSO
0.8913440860215052,0.5011320754716981,490,228,QSO
0.05100806451612927,0.4917295597484277,387,229,QSO
0.14891129032258066,0.4917295597484277,399,229,QSO
0.1733870967741935,0.4917295597484277,402,229,QSO
0.48341397849462364,0.4917295597484277,440,229,QSO
0.6057930107526879,0.4917295597484277,455,229,QSO
0.8750268817204296,0.4917295597484277,488,229,QSO
0.02653225806451598,0.48232704402515725,384,230,QSO
0.05100806451612927,0.48232704402515725,387,230,QSO
0.07548387096774212,0.48232704402515725,390,230,QSO
0.16522849462365574,0.48232704402515725,401,230,QSO
0.6057930107526879,0.48232704402515725,455,230,QSO
0.8750268817204296,0.48232704402515725,488,230,QSO
0.03469086021505374,0.4729245283018868,385,231,QSO
0.05916666666666659,0.4729245283018868,388,231,QSO
0.08364247311827944,0.4729245283018868,391,231,QSO
0.1733870967741935,0.4729245283018868,402,231,QSO
0.3039247311827955,0.4729245283018868,418,231,QSO
0.5976344086021506,0.4729245283018868,454,231,QSO
0.8750268817204296,0.4729245283018868,488,231,QSO
0.03469086021505374,0.46352201257861636,385,232,QSO
0.05916666666666659,0.46352201257861636,388,232,QSO
0.08364247311827944,0.46352201257861636,391,232,QSO
0.10811827956989228,0.46352201257861636,394,232,QSO
0.18154569892473127,0.46352201257861636,403,232,QSO
0.2223387096774192,0.46352201257861636,408,232,QSO
0.29576612903225774,0.46352201257861636,417,232,QSO
0.3202419354838706,0.46352201257861636,420,232,QSO
0.3528763440860212,0.46352201257861636,424,232,QSO
0.6139516129032256,0.46352201257861636,456,232,QSO
0.8423924731182795,0.46352201257861636,484,232,QSO
0.05100806451612927,0.4541194968553459,387,233,QSO
0.07548387096774212,0.4541194968553459,390,233,QSO
0.09995967741935496,0.4541194968553459,393,233,QSO
0.1733870967741935,0.4541194968553459,402,233,QSO
0.19786290322580635,0.4541194968553459,405,233,QSO
0.2223387096774192,0.4541194968553459,408,233,QSO
0.24681451612903205,0.4541194968553459,411,233,QSO
0.31208333333333327,0.4541194968553459,419,233,QSO
0.3365591397849461,0.4541194968553459,422,233,QSO
0.36103494623655896,0.4541194968553459,425,233,QSO
0.6139516129032256,0.4541194968553459,456,233,QSO
0.6384274193548385,0.4541194968553459,459,233,QSO
0.8342338709677417,0.4541194968553459,483,233,QSO
1.4869220430107526,0.4541194968553459,563,233,QSO
0.05916666666666659,0.4447169811320755,388,234,QSO
0.08364247311827944,0.4447169811320755,391,234,QSO
0.10811827956989228,0.4447169811320755,394,234,QSO
0.18154569892473127,0.4447169811320755,403,234,QSO
0.20602150537634412,0.4447169811320755,406,234,QSO
0.23049731182795696,0.4447169811320755,409,234,QSO
0.29576612903225774,0.4447169811320755,417,234,QSO
0.3202419354838706,0.4447169811320755,420,234,QSO
0.3447177419354839,0.4447169811320755,423,234,QSO
0.3691935483870967,0.4447169811320755,426,234,QSO
0.4589381720430108,0.4447169811320755,437,234,QSO
0.6302688172043012,0.4447169811320755,458,234,QSO
0.8342338709677417,0.4447169811320755,483,234,QSO
1.4787634408602148,0.4447169811320755,562,234,QSO
1.5032392473118277,0.4447169811320755,565,234,QSO
0.0918010752688172,0.43531446540880503,392,235,QSO
0.18154569892473127,0.43531446540880503,403,235,QSO
0.20602150537634412,0.43531446540880503,406,235,QSO
0.23049731182795696,0.43531446540880503,409,235,QSO
0.2549731182795698,0.43531446540880503,412,235,QSO
0.27944892473118266,0.43531446540880503,415,235,QSO
0.3039247311827955,0.43531446540880503,418,235,QSO
0.3365591397849461,0.43531446540880503,422,235,QSO
0.36103494623655896,0.43531446540880503,425,235,QSO
0.4426209677419357,0.43531446540880503,435,235,QSO
0.46709677419354856,0.43531446540880503,438,235,QSO
0.8342338709677417,0.43531446540880503,483,235,QSO
1.4787634408602148,0.43531446540880503,562,235,QSO
1.5032392473118277,0.43531446540880503,565,235,QSO
0.18154569892473127,0.4259119496855346,403,236,QSO
0.20602150537634412,0.4259119496855346,406,236,QSO
0.23049731182795696,0.4259119496855346,409,236,QSO
0.2549731182795698,0.4259119496855346,412,236,QSO
0.27944892473118266,0.4259119496855346,415,236,QSO
0.3039247311827955,0.4259119496855346,418,236,QSO
0.3447177419354839,0.4259119496855346,423,236,QSO
0.43446236559139795,0.4259119496855346,434,236,QSO
0.4589381720430108,0.4259119496855346,437,236,QSO
0.8342338709677417,0.4259119496855346,483,236,QSO
1.4869220430107526,0.4259119496855346,563,236,QSO
1.5113978494623654,0.4259119496855346,566,236,QSO
0.11627688172043005,0.41650943396226414,395,237,QSO
0.19786290322580635,0.41650943396226414,405,237,QSO
