epoch_days_since_1987_02_23,filter,region,flux,flux_error,flux_scale_erg_cm-2_s-1_A-1
8717,F438W,er,2.417,0.002,1e-15
9480,F438W,er,2.249,0.002,1e-15
9974,F438W,er,2.115,0.002,1e-15
10317,F438W,er,2.026,0.002,1e-15
10698,F438W,er,1.922,0.002,1e-15
11119,F438W,er,1.749,0.001,1e-15
11458,F438W,er,1.667,0.001,1e-15
11837,F438W,er,1.534,0.001,1e-15
12218,F438W,er,1.411,0.001,1e-15
12598,F438W,er,1.282,0.001,1e-15
8717,F438W,ejecta,0.958,0.003,1e-16
9480,F438W,ejecta,1.015,0.004,1e-16
9974,F438W,ejecta,1.041,0.004,1e-16
10317,F438W,ejecta,1.056,0.004,1e-16
10698,F438W,ejecta,1.096,0.005,1e-16
11119,F438W,ejecta,1.093,0.004,1e-16
11458,F438W,ejecta,1.065,0.004,1e-16
11837,F438W,ejecta,1.078,0.004,1e-16
12218,F438W,ejecta,1.099,0.004,1e-16
12598,F438W,ejecta,1.076,0.004,1e-16
8717,F438W,center,7.179,0.09,1e-18
9480,F438W,center,7.665,0.101,1e-18
9974,F438W,center,7.638,0.101,1e-18
10317,F438W,center,7.561,0.101,1e-18
10698,F438W,center,8.071,0.147,1e-18
11119,F438W,center,7.874,0.095,1e-18
11458,F438W,center,7.679,0.101,1e-18
11837,F438W,center,7.907,0.103,1e-18
12218,F438W,center,7.857,0.104,1e-18
12598,F438W,center,7.387,0.099,1e-18
8717,F625W,er,2.286,0.001,1e-15
9480,F625W,er,2.073,0.001,1e-15
9974,F625W,er,1.942,0.001,1e-15
10317,F625W,er,1.854,0.001,1e-15
10698,F625W,er,1.761,0.001,1e-15
11119,F625W,er,1.609,0.001,1e-15
11458,F625W,er,1.525,0.001,1e-15
11837,F625W,er,1.393,0.001,1e-15
12218,F625W,er,1.28,0.001,1e-15
12598,F625W,er,1.191,0.001,1e-15
8717,F625W,ejecta,0.65,0.001,1e-16
9480,F625W,ejecta,0.707,0.001,1e-16
9974,F625W,ejecta,0.726,0.001,1e-16
10317,F625W,ejecta,0.743,0.001,1e-16
10698,F625W,ejecta,0.77,0.002,1e-16
11119,F625W,ejecta,0.782,0.001,1e-16
11458,F625W,ejecta,0.77,0.001,1e-16
11837,F625W,ejecta,0.767,0.001,1e-16
12218,F625W,ejecta,0.785,0.001,1e-16
12598,F625W,ejecta,0.779,0.002,1e-16
8717,F625W,center,5.372,0.038,1e-18
9480,F625W,center,5.836,0.039,1e-18
9974,F625W,center,5.91,0.039,1e-18
10317,F625W,center,5.968,0.039,1e-18
10698,F625W,center,6.198,0.056,1e-18
11119,F625W,center,6.102,0.04,1e-18
11458,F625W,center,5.967,0.039,1e-18
11837,F625W,center,5.89,0.039,1e-18
12218,F625W,center,6.098,0.04,1e-18
12598,F625W,center,5.737,0.041,1e-18
