id,ra_dr3,dec_dr3,x,y,use_phot,flag_eazy,flag_star,flag_artifact,flag_nearbcg,nusefilt,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,z_spec_dr3,mu,mu_low_68,mu_high_68,flux_radius,iso_area,use_aper,f_f090w,e_f090w,w_f090w,f_f115w,e_f115w,w_f115w,f_f150w,e_f150w,w_f150w,f_f200w,e_f200w,w_f200w,f_f277w,e_f277w,w_f277w,f_f356w,e_f356w,w_f356w,f_f444w,e_f444w,w_f444w,id_msa,ra_dr4,dec_dr4,z_spec_dr4,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3
12863,3.617199,-30.42554,4735.191,3762.451,1,1,0,0,0,13,9.545864,16.80042,9.450491,9.554248,9.858192,10.16713,10.42066,,1.646512,1.638153,1.669004,0.220259,0.688,0.7,-0.5999915,0.7114383,0.2143581,1.066045,0.7189301,0.2907753,32.88861,1.288506,0.1215874,35.17262,0.5080729,0.5032715,30.67635,0.5329162,0.3046117,31.32967,0.4583578,0.3107694,33.80058,0.5617166,0.1838157,3686,3.617202003263485,-30.42553381079773,9.318165,9.30275839636045,9.313930145473265,9.325101894586078,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,12863.0,0.0127284892090657
17536,3.611313,-30.41456,5191.745,4750.502,1,1,0,0,0,26,6.289127,75.23878,6.24777,6.272588,6.294911,6.334576,6.667936,,2.120418,2.074313,2.140649,0.8128492,0.2992,0.48,3.851221,0.2493678,0.4684342,8.324532,0.2971565,0.4489319,7.416637,0.3863214,0.3630852,7.115082,0.2189486,0.6808288,7.394585,0.246853,0.351942,7.589313,0.1624162,0.5988717,6.783656,0.2685403,0.1992068,7309,3.611317802661625,-30.41455737328158,6.346668,6.33339693045836,6.348374638354964,6.363111646280458,3,1,0,0.0,1.0,0.0,0.0,0.0,manual/templ,manual/templ,2.6259999999999994,2,17536.0,0.0153420802679371
19120,3.600607,-30.41027,6022.637,5136.655,1,1,0,0,0,27,6.488524,44.59864,6.36546,6.428901,6.486161,6.539748,6.589732,,9.317399,8.042555,9.255042,0.1691137,0.1632,0.32,1.444182,0.1447479,0.5484267,3.547652,0.174606,0.4963988,3.017234,0.1674088,0.7175839,2.812147,0.1137897,0.9428359,2.048767,0.1349373,0.4492181,3.096598,0.1134985,0.4801625,2.5898,0.1889937,0.1715259,8613,3.60060193250919,-30.41027142361719,6.380238,6.371631593847814,6.379624988970781,6.387618384093746,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,19120.0,0.0175560365885713
19485,3.604123,-30.40954,5749.708,5202.439,1,1,0,0,0,27,6.801514,28.75899,6.682138,6.745823,6.814867,6.893091,6.967298,,3.548534,3.396503,3.613447,0.2116069,0.1648,0.32,0.4918017,0.2806431,0.501795,1.939447,0.305731,0.5568806,2.698919,0.334305,0.6189214,2.158962,0.2214812,0.8559741,2.371535,0.1932961,0.7529514,3.241047,0.1656559,0.7752588,2.630887,0.2738346,0.2810214,8936,3.604124454272525,-30.40954777649949,6.645962,6.6239581554603255,6.636318609523333,6.655152517433513,2,1,0,0.0,0.0,0.0,1.0,0.0,templ,templ,2.6259999999999994,2,19485.0,0.033348562317479
20026,3.614087,-30.41045,4976.344,5120.249,1,1,0,0,0,26,6.492422,43.61271,6.41272,6.452635,6.4901,6.520131,6.551143,,2.153732,2.124778,2.19209,0.5214608,0.2176,0.32,4.673296,0.1349593,0.6308669,11.42916,0.2009151,0.3749074,13.47888,0.205984,0.4739827,13.93461,0.1987344,0.3090978,13.17028,0.1147508,0.6211684,22.8493,0.1016873,0.5981852,15.58109,0.245433,0.1017088,8943,3.614087403729256,-30.41044795973289,6.325826,6.320618889049481,6.329011639616588,6.339001462160193,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,20026.0,0.0078265588017637
21390,3.636963,-30.40636,3200.642,5487.629,1,1,0,0,0,8,8.743676,4.416837,8.374298,8.545513,8.708108,8.82768,8.911297,,1.399468,1.380453,1.40632,0.1395912,0.3792,0.48,0.289727,0.4315113,0.1824267,12.46113,0.9788568,0.0482454,27.30734,0.8216154,0.09360785,26.18167,0.6668992,0.0855747,27.28802,0.556963,0.08061927,31.49547,0.3456627,0.154181,82.41008,0.7497555,0.02980075,10646,3.636959983509949,-30.40636155877451,8.51059,8.501931225621085,8.512234601441035,8.522537977260987,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21390.0,0.0086114331441189
21524,3.615158,-30.40607,4893.181,5514.719,1,1,0,0,0,26,6.148371,35.13341,6.068538,6.109704,6.15238,6.19773,6.246248,,1.806662,1.781651,1.837087,0.3189657,0.12,0.32,2.604058,0.3706986,0.3219218,2.471478,0.4502263,0.287433,3.415066,0.3781974,0.5413042,3.177973,0.3615681,0.3595101,3.035048,0.3129211,0.3215886,3.92619,0.2638227,0.3421319,3.508339,0.44617,0.1184876,10740,3.615159727040683,-30.40606642726874,6.141379,6.130084534234983,6.137855939895061,6.145587465235897,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21524.0,0.0069536863492024
21840,3.612432,-30.40555,5104.711,5561.693,1,1,0,0,0,26,6.508631,43.19973,6.430669,6.478288,6.512587,6.5408,6.566493,,1.945883,1.921323,1.989446,0.4803898,0.5072,0.48,1.030493,0.3030787,0.3171163,3.718043,0.3517654,0.3203647,4.238583,0.296835,0.615001,4.238283,0.2602368,0.4819313,7.353941,0.2532767,0.3343165,13.19079,0.2043359,0.3783584,10.38416,0.3488703,0.1180308,11045,3.612434169529675,-30.40554575330742,6.331689,6.324996410390961,6.332939236865283,6.340882063339604,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21840.0,0.0059146326047714
22153,3.580449,-30.40502,7587.319,5609.183,1,1,0,0,0,27,6.815244,38.63608,6.770402,6.793245,6.818383,6.847001,6.881076,,4.348887,4.311376,4.741085,0.1538024,0.4464,0.7,2.933656,0.3320548,0.8538589,9.374354,0.4897472,0.5437236,9.606585,0.5087381,0.6768055,7.675104,0.3660124,0.8414999,7.540409,0.2817492,0.9456492,11.56469,0.2347528,1.028057,9.817373,0.3806985,0.347253,11254,3.5804459401238,-30.40502288450324,6.87195,6.867101245062186,6.87563190044337,6.8841625558245525,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",22153.0,0.0138496213371732
23918,3.582357,-30.40273,7439.258,5814.984,1,1,0,0,0,27,6.5777,65.36883,6.456369,6.531588,6.581675,6.635311,6.694922,,11.58023,10.95302,13.14975,1.505214,0.3664,0.48,0.2276887,0.1858524,0.8433213,2.093165,0.2410583,0.6821919,1.252422,0.249695,0.869133,1.197988,0.1826846,0.9779538,1.379426,0.1549439,0.8933041,1.735009,0.1407914,0.7969665,1.708852,0.2125922,0.3178546,12899,3.582353077987806,-30.40273183209246,6.873525,6.867100221611924,6.87563155310562,6.884163123466276,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",23918.0,0.0121451390195798
