id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3,f_Lya,e_Lya,eqw_Lya,f_OIII-1663,e_OIII-1663,eqw_OIII-1663,f_NIII-1750,e_NIII-1750,eqw_NIII-1750,f_CIII-1906,e_CIII-1906,eqw_CIII-1906,f_MgII,e_MgII,eqw_MgII,f_NeV-3346,e_NeV-3346,eqw_NeV-3346,f_NeVI-3426,e_NeVI-3426,eqw_NeVI-3426,f_OII,e_OII,eqw_OII,f_NeIII-3867,e_NeIII-3867,eqw_NeIII-3867,f_HeI-3889,e_HeI-3889,eqw_HeI-3889,f_NeIII-3968,e_NeIII-3968,eqw_NeIII-3968,f_Hd,e_Hd,eqw_Hd,f_Hg,e_Hg,eqw_Hg,f_OIII-4363,e_OIII-4363,eqw_OIII-4363,f_HeII-4687,e_HeII-4687,eqw_HeII-4687,f_Hb,e_Hb,eqw_Hb,f_OIII-4959,e_OIII-4959,eqw_OIII-4959,f_OIII,e_OIII,eqw_OIII,f_OIII-5007,e_OIII-5007,eqw_OIII-5007,f_HeI-5877,e_HeI-5877,eqw_HeI-5877,f_OI-6302,e_OI-6302,eqw_OI-6302,f_Ha+NII,e_Ha+NII,eqw_Ha+NII,f_SII,e_SII,eqw_SII,f_HeI-7065,e_HeI-7065,eqw_HeI-7065,f_ArIII-7138,e_ArIII-7138,eqw_ArIII-7138,f_OII-7325,e_OII-7325,eqw_OII-7325,f_ArIII-7753,e_ArIII-7753,eqw_ArIII-7753,f_HeI-8446,e_HeI-8446,eqw_HeI-8446,f_Pa10,e_Pa10,eqw_Pa10,f_SIII-9068,e_SIII-9068,eqw_SIII-9068,f_Pa9,e_Pa9,eqw_Pa9,f_SIII-9531,e_SIII-9531,eqw_SIII-9531,f_Pa8,e_Pa8,eqw_Pa8,f_PaD,e_PaD,eqw_PaD,f_HeI-1083,e_HeI-1083,eqw_HeI-1083,f_PaG,e_PaG,eqw_PaG,f_PaB,e_PaB,eqw_PaB,f_PaA,e_PaA,eqw_PaA,f_BrD,e_BrD,eqw_BrD,f_BrG,e_BrG,eqw_BrG,f_BrB,e_BrB,eqw_BrB,f_PfE,e_PfE,eqw_PfE,f_PAH-3.29,e_PAH-3.29,eqw_PAH-3.29,f_PfD,e_PfD,eqw_PfD,f_PAH-3.40,e_PAH-3.40,eqw_PAH-3.40,f_PfG,e_PfG,eqw_PfG,f_BrA,e_BrA,eqw_BrA,f_PfB,e_PfB,eqw_PfB
3686,3.617202003263485,-30.42553381079773,9.318165,9.30275839636045,9.313930145473265,9.325101894586078,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,12863.0,0.0127284892090657,-706.700529,136.59897,-380.454619,62.853012,57.489557,28.988531,24.71985,54.796262,12.56423,-38.630996,43.567908,-23.277755,19.418571,22.0932,29.215995,-17.992409,19.13374,-38.911035,29.488726,21.027963,67.303664,90.897964,17.872674,222.029627,66.178468,18.280088,159.67918,57.546847,19.870477,138.770979,15.146117,19.735461,36.914423,15.603175,18.298353,41.708895,68.687364,18.829256,224.774401,-19.162331,19.891259,-62.757328,25.59651,21.393177,102.065626,49.591534,22.319041,179.258586,363.95877,26.562668,-21858.310967,,,,719.00284,30.713185,-14323.631496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7309,3.611317802661625,-30.41455737328158,6.346668,6.33339693045836,6.348374638354964,6.363111646280458,3,1,0,0.0,1.0,0.0,0.0,0.0,manual/templ,manual/templ,2.6259999999999994,2,17536.0,0.0153420802679371,-309.031505,104.719915,-251.935029,105.584776,49.420439,102.600376,-20.353927,46.287118,-21.567674,-1.185145,44.0052,-1.466967,-4.230604,25.187274,-14.386852,-9.967676,17.979267,-52.63086,21.455181,15.859083,115.904549,3.134692,15.452627,16.286471,-21.774321,18.328336,-109.13819,10.242457,19.037777,51.225055,-7.688836,14.371904,-38.593781,-10.582603,13.975957,-56.650095,-16.250052,15.066842,-111.305663,21.084173,14.106387,148.226826,12.55651,12.150467,111.433905,2.971869,11.083255,25.549808,0.194101,11.441568,1.647612,,,,41.235081,11.359014,353.80143,9.978916,11.506154,185.392084,13.313212,16.575426,266.650404,5.035451,15.979683,60.666626,0.294029,15.014195,6.116268,-8.166422,18.474395,-114.202404,20.438801,22.559421,1050.243651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8613,3.60060193250919,-30.41027142361719,6.380238,6.371631593847814,6.379624988970781,6.387618384093746,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,19120.0,0.0175560365885713,-11.183893,132.036386,-65.802666,93.309907,41.202107,157.762863,14.1736,40.095451,26.132933,-11.574769,35.429408,-23.058859,38.134337,21.384426,216.500961,-1.780675,15.747737,-13.929393,-1.375333,14.542506,-11.48596,2.622987,11.948333,25.740698,17.041943,16.033321,178.085395,-12.436423,16.844214,-131.729955,-9.32081,13.093637,-106.633149,7.711255,12.65222,112.627013,8.986521,14.628254,242.222768,23.413615,13.500902,650.127978,-6.874968,10.460015,-160.752731,44.050967,10.480691,1157.424194,54.459331,10.757307,1487.914651,,,,125.5628,11.006574,3307.497306,7.203583,10.572943,241.214572,-12.892404,17.723665,-261.301974,127.554096,14.946827,-8824.57765,-3.183184,13.611274,-89.220719,-14.012633,18.097916,-415.149033,3.015179,24.230243,41.395883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8936,3.604124454272525,-30.40954777649949,6.645962,6.6239581554603255,6.636318609523333,6.655152517433513,2,1,0,0.0,0.0,0.0,1.0,0.0,templ,templ,2.6259999999999994,2,19485.0,0.033348562317479,59.512982,86.536276,177.132523,-30.563636,34.209049,-109.769208,13.80911,32.196623,53.690238,-26.388963,32.170993,-116.857549,-3.667267,17.674297,-42.89102,-21.872376,12.089729,-247.170933,-10.457552,12.372217,-120.604418,7.702998,11.165958,150.423809,8.701776,13.001723,208.012433,2.521733,13.424691,60.056646,-0.582963,10.571138,-12.782284,0.622645,9.564985,10.577623,-7.841381,10.694357,-99.725815,13.6244,11.135713,172.248009,3.115295,9.849719,70.040717,5.413858,9.148709,206.707369,-0.360374,8.650746,-12.13962,,,,17.031632,8.340606,521.506663,-7.970672,10.234483,-217.732804,19.462185,14.997388,1481.767628,21.549171,13.730003,-5042.50379,31.202607,15.878641,-1156.733573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8943,3.614087403729256,-30.41044795973289,6.325826,6.320618889049481,6.329011639616588,6.339001462160193,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,20026.0,0.0078265588017637,88.907628,86.486585,107.352838,-13.231803,41.120553,-9.731171,82.138334,41.278853,65.279307,78.29601,35.736845,70.61262,37.657156,21.270326,71.58628,3.206417,13.828142,8.062673,-15.758295,12.862516,-41.634231,115.668672,13.006152,381.834571,155.430635,16.050758,580.362811,45.831536,16.064995,174.002146,77.612272,11.633609,313.394044,62.345485,10.385592,272.261653,127.741738,11.764778,599.494195,30.707146,11.192344,144.892723,6.521499,8.940364,37.121275,230.043232,9.971249,1812.093013,535.269047,14.626754,5221.251109,,,,1397.205197,23.39217,14657.472762,48.419805,9.166527,643.150102,13.499159,13.817585,145.640157,852.887916,18.697202,45231.222034,26.072415,12.212919,116978.30564,32.990039,15.196862,1391.279322,2.61823,18.367801,55.245168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646,3.636959983509949,-30.40636155877451,8.51059,8.501931225621085,8.512234601441035,8.522537977260987,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21390.0,0.0086114331441189,381.515408,95.340093,105.548378,247.591016,52.234118,72.804876,-45.607135,47.122959,-15.055026,577.968891,43.166181,239.709775,91.27787,17.207962,82.776995,22.548338,14.451709,25.002675,23.870306,13.402883,27.842827,281.922727,13.769607,426.414977,326.743931,15.470787,616.8851,105.646555,13.9201,206.212021,274.131794,13.600753,608.206953,262.160312,13.280185,678.278585,409.610344,14.824623,1090.75444,157.99422,13.413263,428.743401,26.637961,12.327094,63.16035,915.279162,20.201801,13560.873783,2102.560036,33.497409,-121049.082161,,,,4608.849495,61.115756,84615.1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10740,3.615159727040683,-30.40606642726874,6.141379,6.130084534234983,6.137855939895061,6.145587465235897,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21524.0,0.0069536863492024,112.089269,149.390435,340.820033,-8.136316,60.645026,-24.212511,-43.877189,59.997094,-138.357438,-54.790434,50.386105,-175.955135,-35.010895,29.718557,-536.988386,-39.213335,22.068864,-469.935918,6.527338,21.993608,84.097959,-9.382887,18.967121,-220.990598,44.370894,23.984603,1541.43934,-24.78837,24.311109,-908.113893,41.978314,19.499789,1857.464772,-2.733668,17.154898,-138.063572,9.783141,18.863094,343.822427,23.15107,17.754361,787.404695,-18.688528,13.359759,-825.642306,10.580026,15.827576,909.014097,45.129972,14.104626,5249.61319,,,,101.118581,15.423341,12773.325487,30.689665,13.916496,2064.084598,-17.405477,20.955915,-533.526858,86.268979,18.359144,-4291.105512,-3.091838,18.119189,2257.651732,-3.719317,18.712361,1228.623725,-7.562034,20.385384,4339.914781,15.492848,25.959424,393.935737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11045,3.612434169529675,-30.40554575330742,6.331689,6.324996410390961,6.332939236865283,6.340882063339604,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21840.0,0.0059146326047714,-186.528858,97.482944,-357.491374,146.325985,44.310825,582.424044,113.266537,40.650903,431.611761,57.487262,39.406357,202.691627,-29.85473,24.372217,-155.257107,-13.103149,16.109205,-72.634468,-9.214744,16.405968,-55.570735,209.719712,18.643725,1639.797511,41.425875,17.984895,346.664654,12.113202,17.902397,102.560522,21.116744,14.213246,190.50383,24.295085,12.745805,270.174433,64.866979,14.049284,1109.319009,7.293527,12.892179,124.52691,-20.203011,10.955261,-247.271097,146.883969,12.07645,5626.400796,281.888405,12.416174,-36265.162292,,,,791.010643,17.213142,-49438.358137,32.843915,11.304797,773.222703,27.720939,15.504255,768.785793,558.310608,16.900283,-18237.420681,51.919375,13.360021,-40276.695443,-3.101274,15.518217,-108.805344,5.848714,19.76792,96.09762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11254,3.5804459401238,-30.40502288450324,6.87195,6.867101245062186,6.87563190044337,6.8841625558245525,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",22153.0,0.0138496213371732,177.653963,82.945962,585.692958,33.98825,24.645324,29.251491,-29.532916,23.07677,-28.914275,103.221447,21.126716,129.298252,-3.29215,11.438904,-8.697545,10.529161,7.916244,41.889373,0.563305,7.387422,2.388736,12.118397,6.839341,64.949243,47.551928,7.610628,280.118523,1.886254,7.320516,11.248609,37.371187,6.448788,233.819953,45.373452,6.078317,309.707664,91.804117,6.648938,714.216184,14.884214,6.221632,116.086553,6.183305,5.079705,51.013262,176.554208,6.295915,2651.916713,178.792984,6.859562,3477.519231,,,,453.633876,9.901359,8021.884902,19.988031,5.91349,232.843852,10.445924,9.54958,137.224883,645.196049,13.851765,21346.167446,-116.82333,33.156591,-282.925612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12899,3.582353077987806,-30.40273183209246,6.873525,6.867100221611924,6.87563155310562,6.884163123466276,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",23918.0,0.0121451390195798,-61.60777,80.173048,-909.104524,-29.794099,24.33423,-229.897096,28.464349,23.164571,283.35502,37.181804,21.58514,649.703701,-9.419864,11.055528,-698.381621,13.936426,8.003061,-3417.74788,-7.209604,7.477549,2873.865321,3.374404,6.767696,436.358431,-7.18766,7.178827,-696.826945,12.730354,7.106806,1223.979116,5.913054,6.058765,593.956018,2.281603,5.987986,392.02618,8.984837,5.891656,-1735.513124,-3.656676,5.976722,659.179493,0.887127,4.995929,727.417485,14.466739,5.414433,-1923.300441,17.395919,5.610036,-1561.998368,,,,37.465665,5.505315,-3493.746177,9.281415,6.235141,-483.683182,5.141726,9.992696,-2614.048125,64.19148,10.549381,-9934.631746,95.878031,34.116817,-409.009071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
