id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3,mu,mu_low_68,mu_high_68,mu_low_95,mu_high_95,mu_rad,mu_rad_low_68,mu_rad_high_68,mu_rad_low_95,mu_rad_high_95,mu_t,mu_t_low_68,mu_t_high_68,mu_t_low_95,mu_t_high_95,gamma1,gamma1_low_68,gamma1_high_68,gamma1_low_95,gamma1_high_95,gamma2,gamma2_low_68,gamma2_high_68,gamma2_low_95,gamma2_high_95,theta,theta_low_68,theta_high_68,theta_low_95,theta_high_95
3686,3.617202003263485,-30.42553381079773,9.318165,9.30275839636045,9.313930145473265,9.325101894586078,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,12863.0,0.0127284892090657,1.6335622,1.6220613,1.637684,1.6178712,1.6451113,0.9998962,0.9974035,1.0008084,0.9961827,1.0016849,1.6337318,1.6243298,1.6377845,1.6225444,1.6430458,-0.0052825,-0.0062165,-0.0050963,-0.0066288,-0.0047858,-0.1939322,-0.1949915,-0.1928346,-0.1959522,-0.1918272,-45.780137,-45.912658,-45.751333,-45.979697,-45.712521
7309,3.611317802661625,-30.41455737328158,6.346668,6.33339693045836,6.348374638354964,6.363111646280458,3,1,0,0.0,1.0,0.0,0.0,0.0,manual/templ,manual/templ,2.6259999999999994,2,17536.0,0.0153420802679371,2.0785094,2.0599528,2.0895958,2.0437136,2.0968665,1.0285831,1.0258141,1.0297101,1.0246986,1.0309853,2.0207505,2.006274,2.0322238,1.9927906,2.0386866,-0.0734987,-0.0744364,-0.0728657,-0.0750387,-0.0725089,-0.227074,-0.2288623,-0.2256409,-0.2295809,-0.2246619,-53.967796,-54.091462,-53.908554,-54.144421,-53.817548
8613,3.60060193250919,-30.41027142361719,6.380238,6.371631593847814,6.379624988970781,6.387618384093746,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,19120.0,0.0175560365885713,7.2056086,6.9463765,7.4450842,6.7326727,7.6483311,1.0671585,1.0593091,1.0700738,1.0530932,1.0765385,6.7521085,6.556239,6.9373553,6.3657884,7.1516478,-0.0536922,-0.0554018,-0.0511225,-0.0572745,-0.0495359,-0.390812,-0.3941959,-0.3898607,-0.397334,-0.3870895,-48.911338,-49.019628,-48.732206,-49.149969,-48.607043
8936,3.604124454272525,-30.40954777649949,6.645962,6.6239581554603255,6.636318609523333,6.655152517433513,2,1,0,0.0,0.0,0.0,1.0,0.0,templ,templ,2.6259999999999994,2,19485.0,0.033348562317479,3.3562219,3.3188871,3.3907285,3.2810177,3.4390086,1.0657826,1.0604409,1.0673702,1.0579438,1.0707137,3.149066,3.1217671,3.180963,3.1030431,3.2142044,-0.1267593,-0.1287064,-0.1258426,-0.131186,-0.123422,-0.2832956,-0.2857863,-0.282117,-0.2871032,-0.2805353,-57.052949,-57.286526,-56.895744,-57.474469,-56.708365
8943,3.614087403729256,-30.41044795973289,6.325826,6.320618889049481,6.329011639616588,6.339001462160193,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,20026.0,0.0078265588017637,2.0969157,2.0898774,2.1327911,2.072748,2.1454646,1.0288206,1.0251118,1.0296024,1.0233297,1.0309223,2.0381727,2.0313329,2.0789843,2.0182616,2.0897463,-0.130324,-0.1320517,-0.1303019,-0.1330072,-0.1295329,-0.2023373,-0.2085829,-0.2012461,-0.2111111,-0.1993888,-61.39265,-61.540419,-61.072516,-61.686471,-60.884512
10646,3.636959983509949,-30.40636155877451,8.51059,8.501931225621085,8.512234601441035,8.522537977260987,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21390.0,0.0086114331441189,1.4066665,1.3968289,1.4099672,1.391135,1.4135852,0.9948198,0.9906403,0.9958837,0.9891467,0.9969739,1.4139912,1.4048447,1.4196614,1.3992295,1.4222335,-0.1294989,-0.1324178,-0.1280684,-0.1335842,-0.1263818,-0.0736846,-0.0749378,-0.071449,-0.0759145,-0.070655,-75.180111,-75.46732,-75.210121,-75.56027,-75.049322
10740,3.615159727040683,-30.40606642726874,6.141379,6.130084534234983,6.137855939895061,6.145587465235897,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21524.0,0.0069536863492024,1.8575374,1.8383891,1.8670729,1.8301228,1.87569,1.0791781,1.0784424,1.0820372,1.0775616,1.0834038,1.7212519,1.7045583,1.7264728,1.6975469,1.7317426,-0.1415865,-0.1419852,-0.1404425,-0.1427626,-0.1392631,-0.0991123,-0.0989662,-0.0951681,-0.1007719,-0.0940104,-72.503745,-72.99205,-72.562047,-73.184734,-72.22542
11045,3.612434169529675,-30.40554575330742,6.331689,6.324996410390961,6.332939236865283,6.340882063339604,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21840.0,0.0059146326047714,2.0040676,1.9849379,2.0154141,1.9712847,2.0247982,1.0724089,1.0703432,1.0739622,1.0683651,1.0758323,1.8687533,1.8514439,1.8782391,1.8406448,1.8890678,-0.1529767,-0.1535362,-0.1516104,-0.1542801,-0.1506303,-0.126778,-0.1296435,-0.123954,-0.1318833,-0.1227456,-70.175043,-70.474925,-69.803986,-70.609826,-69.576118
11254,3.5804459401238,-30.40502288450324,6.87195,6.867101245062186,6.87563190044337,6.8841625558245525,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",22153.0,0.0138496213371732,5.1585815,5.1123408,5.2863374,5.0284823,5.3505127,1.9408552,1.9278321,1.9954668,1.9035105,2.0223511,2.6578911,2.6297156,2.6715486,2.6050449,2.6837976,-0.0373976,-0.040615,-0.0316457,-0.0461442,-0.0273839,0.0585797,0.0523261,0.0587419,0.0473801,0.0621009,61.277185,59.758025,63.037255,58.144762,64.75925
12899,3.582353077987806,-30.40273183209246,6.873525,6.867100221611924,6.87563155310562,6.884163123466276,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",23918.0,0.0121451390195798,13.345513,13.239698,13.864782,12.864393,14.261568,2.537849,2.4759063,2.5818019,2.4469587,2.6198488,5.2585921,5.2475081,5.4343997,5.1469252,5.5506218,-0.1007582,-0.1071393,-0.0971273,-0.1100475,-0.0938444,0.0154431,0.0141024,0.0234146,0.0113855,0.0314376,85.643081,83.524856,85.971403,81.844513,86.921127
