id_msa,ra,dec,z_spec,z_spec16,z_spec50,z_spec84,flag_zspec_qual,flag_successful_spectrum,flag_potential_local_background_issue,flag_emission_lines,flag_line_and_break,flag_break_strong_abs_features_only,flag_break_only,flag_stellar_bump_only,method_best_zfit,method_zuncert,texp_tot,masks,id_DR3,sep_DR3
3231,3.611873799819376,-30.42733955706274,2.565506,2.558679911976872,2.562538750320928,2.5663975886649832,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,12236.0,0.0165639404245588
3686,3.617202003263485,-30.42553381079773,9.318165,9.30275839636045,9.313930145473265,9.325101894586078,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,12863.0,0.0127284892090657
4233,3.601440851178599,-30.42356609181798,3.918019,3.910971006740213,3.9163194476195553,3.921644661834949,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,"1,2",13675.0,0.0071952626856316
4286,3.619201005497743,-30.4232703426477,5.836704,5.841923221549697,5.849342229813279,5.85676123807686,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,13742.0,0.0094963819115003
4546,3.59923294059471,-30.42250704788694,2.48573,2.4807757554406256,2.486802826640784,2.492568876382627,2,1,1,0.0,0.0,0.0,1.0,0.0,templ,templ,2.6259999999999994,"1,2",14057.0,0.0149880794743904
4661,3.604442749383612,-30.42209074827912,2.513125,2.508224773965349,2.5120324167183408,2.515837949130741,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,14196.0,0.0159695647490378
4978,3.621933437092616,-30.42110500007863,2.647003,2.6328427367009155,2.6367819931659686,2.6407212496310204,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,14630.0,0.0259962783148092
6226,3.601032508695363,-30.41830491547581,0.779047,0.7770250256820914,0.7797651095896455,0.7827512849228278,2,1,0,0.0,0.0,0.0,1.0,0.0,templ,templ,2.6259999999999994,2,16215.0,0.018831821217715
6291,3.6056030353963,-30.41812687686951,2.675929,2.6734146978233277,2.6773979483095176,2.681381198795708,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,16348.0,0.0138532339003979
6325,3.625124473877182,-30.41691882966671,1.838869,1.8361961191753495,1.841372636706094,1.848043733759817,2,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,16309.0,0.0072348538117452
6645,3.627104103364937,-30.41582045629366,3.053197,3.053135847519922,3.0575308469042266,3.0619258462885317,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,16711.0,0.0006140147639726
6948,3.613830543328084,-30.41516712561463,3.404849,3.401714239144188,3.4064872179322285,3.411260196706879,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,"1,2",17172.0,0.0184688091904905
7309,3.611317802661625,-30.41455737328158,6.346668,6.33339693045836,6.348374638354964,6.363111646280458,3,1,0,0.0,1.0,0.0,0.0,0.0,manual/templ,manual/templ,2.6259999999999994,2,17536.0,0.0153420802679371
7487,3.605599501480133,-30.41347657793688,2.620839,2.615149841272213,2.61938091138433,2.6237146830607005,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,17709.0,0.0125265498470195
7887,3.61262811872089,-30.41230841868884,2.747564,2.73808805724778,2.7421414459216757,2.7461948247272736,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,"1,2",18233.0,0.0086372426082151
8313,3.584914195497535,-30.41102135982999,2.578006,2.575658893075476,2.5795361430005506,2.5834133924259213,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",18722.0,0.0059582281302433
8613,3.60060193250919,-30.41027142361719,6.380238,6.371631593847814,6.379624988970781,6.387618384093746,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,19120.0,0.0175560365885713
8875,3.578463433290885,-30.40964328940584,2.571929,2.5700222643530584,2.5739604108480334,2.577831621740547,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,6,20234.0,0.0092928859216277
8936,3.604124454272525,-30.40954777649949,6.645962,6.6239581554603255,6.636318609523333,6.655152517433513,2,1,0,0.0,0.0,0.0,1.0,0.0,templ,templ,2.6259999999999994,2,19485.0,0.033348562317479
8943,3.614087403729256,-30.41044795973289,6.325826,6.320618889049481,6.329011639616588,6.339001462160193,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,20026.0,0.0078265588017637
9457,3.57822017674908,-30.40850853208303,2.850896,2.846382382979345,2.8505531978039884,2.8547240050195373,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",20471.0,0.0085175085274287
9737,3.600842123713004,-30.40795379206292,2.524032,2.5194991776861806,2.5235579215309403,2.527375047776848,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,20361.0,0.0033270201536258
10137,3.61857835646692,-30.40716794511019,4.503619,4.496542214597956,4.502515796868707,4.50847596191783,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,20859.0,0.0037017389494953
10155,3.582205518181468,-30.40711390884758,5.659243,5.649289885655613,5.656500012839335,5.663710140023057,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,6,20875.0,0.0045158454818016
10646,3.636959983509949,-30.40636155877451,8.51059,8.501931225621085,8.512234601441035,8.522537977260987,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21390.0,0.0086114331441189
10740,3.615159727040683,-30.40606642726874,6.141379,6.130084534234983,6.137855939895061,6.145587465235897,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21524.0,0.0069536863492024
11045,3.612434169529675,-30.40554575330742,6.331689,6.324996410390961,6.332939236865283,6.340882063339604,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21840.0,0.0059146326047714
11126,3.61019306871836,-30.40552034875566,3.047121,3.0463589090519148,3.050772055331678,3.055404233687059,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,21933.0,0.0209886335489348
11254,3.5804459401238,-30.40502288450324,6.87195,6.867101245062186,6.87563190044337,6.8841625558245525,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",22153.0,0.0138496213371732
11432,3.607424724685428,-30.40646592839755,3.204713,3.203773880653714,3.2083322237027225,3.212890566751731,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,"1,2",22109.0,0.0150347556802717
11714,3.588383257181066,-30.40524862633748,1.5736,1.5739472415976128,1.576738291255735,1.5799775054226814,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.671106666666663,"5,6,7",23166.0,0.0059603782425061
11819,3.591269169923245,-30.40407425030742,0.320193,0.2263754075760204,0.3137680709829039,0.3282293439378426,2,1,1,0.0,0.0,0.0,0.0,1.0,templ,templ,4.376664999999999,6,23194.0,0.1175762432979544
12065,3.570058411157738,-30.40368850435579,5.544374,5.534249303546579,5.541334720821764,5.5484201043112025,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.423583333333333,3,22947.0,0.0090633110203002
12697,3.567413350746695,-30.40256286847841,2.549042,2.5472471062089355,2.5542996895140697,2.587330504915875,2,1,1,0.0,0.0,0.0,1.0,0.0,templ,templ,2.423583333333333,3,23699.0,0.0341197022610915
12725,3.572990237729711,-30.402362046012,3.69269,3.690119513959089,3.6952052236790776,3.7002909333990655,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.671106666666663,"5,6,7",23709.0,0.0135147407545614
12899,3.582353077987806,-30.40273183209246,6.873525,6.867100221611924,6.87563155310562,6.884163123466276,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,7.294441666666666,"5,7",23918.0,0.0121451390195798
13077,3.570869324641364,-30.40158532661826,13.163633,12.908682991435173,13.15264545713766,13.214464048625526,2,1,0,0.0,0.0,0.0,1.0,0.0,templ,templ,7.294441666666666,"5,7",24119.0,0.0295062594007079
13123,3.579828558636116,-30.40156942018814,7.039813,7.146647650494824,7.155685527452545,7.164723422132208,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,16.720689999999998,"2,3,5,6,7",24175.0,0.0095944870462636
13151,3.592501339027848,-30.40146428899556,9.798486,9.805003607362549,9.81671996591658,9.828438843269444,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,11.671106666666663,"5,6,7",24203.0,0.0012402150554164
13177,3.594568211871065,-30.40143573854192,0.211643,0.0940966579586728,0.1593672336441805,0.2116079715055728,2,1,1,0.0,0.0,0.0,0.0,1.0,templ,templ,4.376664999999999,6,24230.0,0.0048593812413581
13759,3.581098659003678,-30.40020117144815,2.666384,2.6617766929282074,2.665747323796829,2.669717954665451,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,6,24908.0,0.0124552520678221
14087,3.640464141784403,-30.39925814103492,2.72589,2.71979095577966,2.723824500063619,2.7282147575716373,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,25277.0,0.0032141351976833
14238,3.594856097496509,-30.39891132137802,0.284254,0.2612405489514324,0.2813832351235603,0.2930780843774601,2,1,0,0.0,0.0,0.0,0.0,1.0,templ,templ,4.376664999999999,6,25416.0,0.0070099217490433
14267,3.590319031204635,-30.40037353165502,0.497962,0.4917245471342375,0.4933420918484663,0.4949596365626951,3,1,0,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,6,26171.0,0.0387174294688374
14392,3.579054479680173,-30.40006570233771,0.290691,0.2932245906554227,0.2946269364126586,0.2960292821698944,2,1,1,0.0,0.0,0.0,0.0,1.0,templ,templ,4.376664999999999,6,25648.0,0.0148259400004916
14397,3.57730915306663,-30.40158450809923,2.590551,2.587023194706912,2.590912766960423,2.594802339213933,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,4.376664999999999,6,25652.0,0.0313062629400291
14398,3.57790171128664,-30.40099235018795,1.297464,1.344597780151743,1.3471401341159035,1.3496824880334903,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,2.6259999999999994,2,25651.0,0.0420866432770601
14399,3.576389822487262,-30.40252960886829,3.989351,3.981639993755832,3.9871486758729935,3.992550610248088,3,1,1,1.0,0.0,0.0,0.0,0.0,spl+lines,templ,5.0495833333333335,"2,3",25654.0,0.0051216839651268
