pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad
Kepler-1808 b,Kepler-1808,2021,Transit,23.3404007,3.02511302,,,5530.0,0.892
Kepler-418 b,Kepler-418,2014,Transit,86.67856,13.45,1.79,-1.79,5820.0,1.09
Kepler-249 d,Kepler-249,2014,Transit,15.368459,1.57,0.14,-0.14,3568.0,0.482
Kepler-1408 b,Kepler-1408,2016,Transit,2.99793191,0.89,68.91,-0.15,6170.0,1.35
Kepler-500 b,Kepler-500,2016,Transit,8.508324398,2.58,0.25,-0.17,5813.0,1.03
CoRoT-17 b,CoRoT-17,2011,Transit,3.7681,11.43,0.78,-0.78,5740.0,1.59
Kepler-1685 b,Kepler-1685,2020,Transit,20.4905,2.57673985,,,5484.0,0.835451
Kepler-296 b,Kepler-296,2014,Transit,10.864384,1.61,0.29,-0.27,3740.0,0.48
TOI-1744.01,TOI-1744,2024,Transit,22.341702927,2.68,0.263,-0.172,6179.0,1.14
TOI-4377 b,TOI-4377,2023,Transit,4.378081,15.10970598,0.90792744,-0.90792744,4974.0,3.52
TOI-858 B b,TOI-858 B,2023,Transit,3.2797178,14.06727078,0.43715025,-0.43715025,5842.0,1.308
Kepler-1947 b,Kepler-1947,2021,Transit,6.963630199,1.0101666,,,6040.0,1.686
Kepler-81 d,Kepler-81,2014,Transit,20.837846,1.21,0.27,-0.27,4500.0,0.595
Kepler-900 b,Kepler-900,2016,Transit,6.9913086,2.08,0.12,-0.34,4836.0,0.73
TOI-1296 b,TOI-1296,2021,Transit,3.9443736,14.11645916,0.28454324,-0.26287755,5567.0,1.7031
Kepler-638 b,Kepler-638,2016,Transit,6.07972888,1.83,0.56,-0.31,5382.0,0.93
Kepler-375 b,Kepler-375,2014,Transit,12.125934,1.45,0.51,-0.51,5826.0,0.837
Kepler-1590 b,Kepler-1590,2016,Transit,7.61760804,1.14,0.34,-0.15,6053.0,1.16
Kepler-666 b,Kepler-666,2016,Transit,4.49876092,2.4,0.58,-0.28,5887.0,1.05
Kepler-586 b,Kepler-586,2016,Transit,2.104722184,2.79,0.36,-0.2,5575.0,0.92
Kepler-1827 b,Kepler-1827,2021,Transit,3.700619936,1.85644292,,,5423.0,1.404
Kepler-83 b,Kepler-83,2012,Transit,9.77,2.83,0.41,-0.41,4082.0,0.61
Kepler-578 b,Kepler-578,2016,Transit,1.616883696,2.0,0.18,-0.22,5334.0,0.83
TOI-3807 b,TOI-3807,2023,Transit,2.8989727,18.49481816,,,5772.0,1.468
K2-392 b,K2-392,2022,Transit,15.398723,1.85,0.161,-0.154,5726.0,1.058
Kepler-239 b,Kepler-239,2014,Transit,11.763051,2.33,0.15,-0.15,4914.0,0.763
Kepler-1812 b,Kepler-1812,2021,Transit,7.165219784,2.3249424,,,6174.0,1.103
HD 191939 c,HD 191939,2020,Transit,28.579743,3.195,0.075,-0.075,5348.0,0.94
Kepler-931 b,Kepler-931,2016,Transit,8.03755877,1.33,0.14,-0.09,5241.0,0.81
Kepler-501 c,Kepler-501,2021,Transit,3.622760057,1.68119739,,,5794.0,1.216
TIC 38825265 b,TIC 38825265,2026,Transit,3.31336980985,2.18869476,0.35685651,-0.24522877,4375.52,0.664503
Kepler-1664 b,Kepler-1664,2020,Transit,14.3868,3.03320653,,,5735.81,1.072
WASP-105 b,WASP-105,2017,Transit,7.87288,10.76064,0.33627,-0.33627,5070.0,0.9
Kepler-58 b,Kepler-58,2012,Transit,10.2184954,2.78,,,5843.0,1.03
