pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad,radius_frac_error
Kepler-249 d,Kepler-249,2014,Transit,15.368459,1.57,0.14,-0.14,3568.0,0.482,0.089171974522293
Kepler-500 b,Kepler-500,2016,Transit,8.508324398,2.58,0.25,-0.17,5813.0,1.03,0.09689922480620154
Kepler-296 b,Kepler-296,2014,Transit,10.864384,1.61,0.29,-0.27,3740.0,0.48,0.18012422360248445
TOI-1744.01,TOI-1744,2024,Transit,22.341702927,2.68,0.263,-0.172,6179.0,1.14,0.09813432835820896
Kepler-900 b,Kepler-900,2016,Transit,6.9913086,2.08,0.12,-0.34,4836.0,0.73,0.16346153846153846
Kepler-586 b,Kepler-586,2016,Transit,2.104722184,2.79,0.36,-0.2,5575.0,0.92,0.12903225806451613
Kepler-83 b,Kepler-83,2012,Transit,9.77,2.83,0.41,-0.41,4082.0,0.61,0.1448763250883392
Kepler-578 b,Kepler-578,2016,Transit,1.616883696,2.0,0.18,-0.22,5334.0,0.83,0.11
K2-392 b,K2-392,2022,Transit,15.398723,1.85,0.161,-0.154,5726.0,1.058,0.08702702702702703
Kepler-239 b,Kepler-239,2014,Transit,11.763051,2.33,0.15,-0.15,4914.0,0.763,0.06437768240343347
HD 191939 c,HD 191939,2020,Transit,28.579743,3.195,0.075,-0.075,5348.0,0.94,0.023474178403755867
Kepler-931 b,Kepler-931,2016,Transit,8.03755877,1.33,0.14,-0.09,5241.0,0.81,0.10526315789473685
TIC 38825265 b,TIC 38825265,2026,Transit,3.31336980985,2.18869476,0.35685651,-0.24522877,4375.52,0.664503,0.16304535311264692
TOI-1759 b,TOI-1759,2022,Transit,18.85019,3.14,0.1,-0.1,4065.0,0.597,0.03184713375796178
KOI-142 b,KOI-142,2013,Transit,10.91647,3.438,0.075,-0.075,5466.0,0.897,0.021815008726003487
Kepler-1350 c,Kepler-1350,2016,Transit,1.766789062,1.73,0.12,-0.18,3827.0,0.53,0.10404624277456648
TOI-1410.01,TOI-1410,2024,Transit,1.21687,3.10083009,0.22026793,-0.1612362,4635.0,0.7558,0.07103514981693176
TOI-5624 e,TOI-5624,2026,Transit,21.489936,3.247,0.042,-0.043,5327.0,0.82,0.01324299353249153
Kepler-764 b,Kepler-764,2016,Transit,7.33683936,1.64,0.2,-0.13,5557.0,0.89,0.12195121951219513
TOI-7166 b,TOI-7166,2025,Transit,12.92063621,2.01,0.06,-0.05,3099.0,0.222,0.02985074626865672
Kepler-656 b,Kepler-656,2016,Transit,1.260259094,3.12,0.21,-0.34,5281.0,0.82,0.10897435897435898
Kepler-751 b,Kepler-751,2016,Transit,17.44490636,2.46,0.23,-0.18,5387.0,0.84,0.0934959349593496
HD 207496 b,HD 207496,2023,Transit,6.441008,2.25,0.12,-0.1,4819.0,0.769,0.05333333333333333
Kepler-1503 b,Kepler-1503,2016,Transit,96.16987,2.27,0.19,-0.23,5069.0,0.74,0.10132158590308371
TOI-1776 b,TOI-1776,2024,Transit,2.799868,1.21612741,0.0898466,-0.07715788,5785.0,0.9356,0.07387926566016632
K2-19 d,K2-19,2016,Transit,2.50827,1.044,0.064,-0.064,5350.0,0.824,0.06130268199233716
Kepler-1309 b,Kepler-1309,2016,Transit,28.8432647,2.37,0.2,-0.2,5235.0,0.8,0.08438818565400844
Kepler-57 c,Kepler-57,2012,Transit,11.6,2.196,0.067,-0.065,5187.9,0.826,0.030510018214936246
K2-104 b,K2-104,2016,Transit,1.9741954,1.79,0.1,-0.06,3712.0,0.48,0.0558659217877095
TOI-1768.01,TOI-1768,2024,Transit,7.337703649,3.453,0.423,-0.287,5994.0,1.1,0.12250217202432667
Kepler-770 b,Kepler-770,2016,Transit,18.92540274,2.3,0.32,-0.17,5598.0,0.92,0.1391304347826087
TOI-1782.01,TOI-1782,2024,Transit,4.987641028,2.368,0.307,-0.244,4336.0,0.669,0.12964527027027029
Kepler-338 b,Kepler-338,2014,Transit,13.726976,2.44,0.13,-0.13,5923.0,1.735,0.05327868852459017
K2-130 b,K2-130,2017,Transit,2.49412,1.25,0.2,-0.14,4356.47,0.744261,0.16
Kepler-106 e,Kepler-106,2014,Transit,43.8445,2.56,0.33,-0.33,5858.0,1.04,0.12890625
Kepler-932 b,Kepler-932,2016,Transit,1.921437396,1.37,0.13,-0.1,5331.0,0.84,0.0948905109489051
Kepler-1206 b,Kepler-1206,2016,Transit,1.216997663,1.64,0.09,-0.08,4877.0,0.75,0.054878048780487805
Kepler-520 b,Kepler-520,2016,Transit,19.67416124,1.66,0.28,-0.1,6112.0,1.09,0.16867469879518074
TOI-2141 b,TOI-2141,2023,Transit,18.261608,3.147,0.043,-0.042,5635.0,0.95,0.013663806800127106
K2-414 c,K2-414,2022,Transit,6.669,1.9287,0.063,-0.0728,4343.0,0.732,0.03774563177269664
K2-148 b,K2-148,2018,Transit,4.38395,1.33,0.19,-0.18,4079.0,0.632,0.14285714285714285
Kepler-633 b,Kepler-633,2016,Transit,8.50340718,1.63,0.31,-0.21,5899.0,1.15,0.1901840490797546
Kepler-61 b,Kepler-61,2013,Transit,59.87756,2.15,0.13,-0.13,4017.0,0.62,0.060465116279069774
GJ 3090 b,GJ 3090,2022,Transit,2.85310198,2.18,0.06,-0.06,3707.0,0.516,0.027522935779816512
Kepler-1124 b,Kepler-1124,2016,Transit,2.852348975,1.28,0.12,-0.07,3658.0,0.34,0.09375
EPIC 212587672 b,EPIC 212587672,2019,Transit,15.28078,1.26,0.11,-0.09,6004.0,0.98,0.0873015873015873
TOI-707 b,TOI-707,2026,Transit,52.79918,2.416,0.098,-0.098,5424.0,0.978,0.040562913907284774
GJ 3929 b,GJ 3929,2022,Transit,2.616235,1.09,0.04,-0.04,3384.0,0.32,0.03669724770642201
TOI-283 b,TOI-283,2025,Transit,17.61745,2.34,0.09,-0.09,5213.0,0.85,0.038461538461538464
TOI-205 b,TOI-205,2026,Transit,4.25300773815,2.50121142,0.23968778,-0.21681012,6302.74,1.45382,0.09582867648989063
Kepler-236 b,Kepler-236,2014,Transit,8.295611,1.57,0.12,-0.12,3750.0,0.51,0.07643312101910828
HD 3167 c,HD 3167,2016,Transit,29.846511,2.983,0.083,-0.068,5338.0,0.871,0.02782433791485082
Kepler-1467 b,Kepler-1467,2016,Transit,47.0569043,3.3,0.31,-0.25,5332.0,0.82,0.09393939393939395
Kepler-19 b,Kepler-19,2011,Transit,9.28699,2.209,0.048,-0.048,5541.0,0.859,0.02172928927116342
Kepler-1102 b,Kepler-1102,2016,Transit,51.3285623,2.66,0.53,-0.23,5724.0,0.94,0.19924812030075187
HD 110067 c,HD 110067,2023,Transit,13.673694,2.388,0.036,-0.036,5266.0,0.788,0.01507537688442211
Kepler-617 b,Kepler-617,2016,Transit,1.682696148,1.32,0.07,-0.07,3712.0,0.48,0.05303030303030303
Kepler-1610 c,Kepler-1610,2023,Transit,44.9851885,2.09,0.35,-0.21,5295.0,0.8,0.1674641148325359
K2-338 b,K2-338,2021,Transit,3.850614,1.03,0.11,-0.05,4558.0,0.63,0.10679611650485436
TOI-286 b,TOI-286,2024,Transit,4.5117244,1.42,0.1,-0.1,5152.0,0.78,0.07042253521126761
Kepler-278 c,Kepler-278,2014,Transit,51.111,3.268,0.067,-0.067,4965.0,2.861,0.02050183598531212
Kepler-1248 b,Kepler-1248,2016,Transit,7.46725407,1.18,0.2,-0.11,6149.0,1.21,0.16949152542372883
K2-275 b,K2-275,2018,Transit,3.2809626,2.34,0.25,-0.27,4841.0,0.69,0.1153846153846154
Kepler-267 c,Kepler-267,2014,Transit,6.87745,2.13,0.11,-0.11,4258.0,0.555,0.051643192488262914
K2-86 b,K2-86,2016,Transit,8.77683,1.96,0.27,-0.27,5482.0,0.76,0.13775510204081634
Kepler-377 c,Kepler-377,2014,Transit,27.014976,2.06,0.39,-0.39,5949.0,1.224,0.18932038834951456
K2-195 c,K2-195,2018,Transit,28.482786,2.57581891,0.27157754,-0.14909276,5712.0,0.906367,0.10543347552332395
HD 15906 b,HD 15906,2023,Transit,10.924709,2.24,0.08,-0.08,4757.0,0.762,0.03571428571428571
K2-201 c,K2-201,2018,Transit,22.779878,3.28568401,0.39804812,-0.18385433,5507.0,0.878161,0.12114619628319036
TOI-1279 b,TOI-1279,2024,Transit,9.61419,2.66146528,0.13795921,-0.10646515,5457.0,0.8426,0.051835810535165054
K2-326 b,K2-326,2020,Transit,1.256,2.28,0.18,-0.18,3924.0,0.688,0.07894736842105264
Kepler-1575 b,Kepler-1575,2016,Transit,2.55314213,1.31,0.2,-0.13,5667.0,0.92,0.15267175572519084
Kepler-729 b,Kepler-729,2016,Transit,3.166353714,3.58,0.42,-0.25,5633.0,0.91,0.11731843575418993
Kepler-1434 b,Kepler-1434,2016,Transit,8.05333618,1.11,0.21,-0.2,6291.0,2.04,0.18918918918918917
Kepler-464 b,Kepler-464,2016,Transit,7.256965224,3.3,0.16,-0.13,5933.0,1.59,0.04848484848484849
Kepler-1580 b,Kepler-1580,2016,Transit,56.6449279,2.11,0.3,-0.31,6228.0,2.15,0.14691943127962087
Kepler-198 d,Kepler-198,2016,Transit,1.31184443,1.53,0.09,-0.07,5636.0,0.93,0.058823529411764705
Kepler-134 c,Kepler-134,2014,Transit,10.105785,1.26,0.25,-0.25,5983.0,1.176,0.1984126984126984
TOI-1860 b,TOI-1860,2022,Transit,1.0662107,1.31,0.04,-0.04,5752.0,0.94,0.030534351145038167
Kepler-132 c,Kepler-132,2014,Transit,6.414914,1.28,0.25,-0.25,6003.0,1.178,0.1953125
Kepler-26 b,Kepler-26,2011,Transit,12.28,2.78,0.11,-0.11,3914.0,0.512,0.03956834532374101
K2-343 c,K2-343,2021,Transit,7.676972,2.02,0.1,-0.07,3804.0,0.46,0.04950495049504951
KOI-1831 d,Kepler-324,2018,Transit,34.169,1.13,0.05,-0.05,5233.0,0.835,0.044247787610619475
Kepler-329 c,Kepler-329,2014,Transit,18.684737,1.93,0.29,-0.29,4257.0,0.523,0.15025906735751296
Kepler-797 b,Kepler-797,2016,Transit,27.07237711,2.17,0.43,-0.22,5680.0,0.95,0.19815668202764977
K2-401 b,K2-401,2022,Transit,6.293099,2.262,0.209,-0.192,4213.0,0.675,0.09239610963748894
Kepler-199 c,Kepler-199,2014,Transit,67.093408,3.25,0.58,-0.58,5644.0,0.967,0.17846153846153845
Kepler-1389 b,Kepler-1389,2016,Transit,99.2530951,1.77,0.05,-0.14,5078.0,0.74,0.07909604519774012
Kepler-251 d,Kepler-251,2014,Transit,30.133001,2.77,0.49,-0.49,5526.0,0.89,0.17689530685920576
