pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
Kepler-418 b,Kepler-418,2014,Transit,86.67856,0.2,0.11,-0.11,1.2,1.1,0.98,5820.0
CoRoT-17 b,CoRoT-17,2011,Transit,3.7681,0.0,,,1.02,2.43,1.04,5740.0
TOI-4377 b,TOI-4377,2023,Transit,4.378081,0.045,0.053,-0.032,1.348,0.957,1.36,4974.0
TOI-858 B b,TOI-858 B,2023,Transit,3.2797178,0.15,,,1.255,1.1,1.081,5842.0
TOI-1296 b,TOI-1296,2021,Transit,3.9443736,0.0,,,1.2593883,0.29984733,1.1576,5567.0
TOI-3807 b,TOI-3807,2023,Transit,2.8989727,0.0,,,1.65,1.04,1.181,5772.0
WASP-105 b,WASP-105,2017,Transit,7.87288,0.0,,,0.96,1.8,0.89,5070.0
HATS-62 b,HATS-62,2018,Transit,3.2768837,0.298,,,1.055,0.179,0.896,5416.0
TOI-5110 b,TOI-5110,2024,Transit,30.158577,0.745,0.03,-0.027,1.069,2.9,1.469,6160.0
Qatar-7 b,Qatar-7,2019,Transit,2.032046,0.0,,,1.7,1.88,1.409,6387.0
TOI-6695 b,TOI-6695,2025,Transit,80.389,0.04,0.006,-0.007,0.85,0.21,1.338,6400.0
WASP-37 b,WASP-37,2010,Transit,3.577469,0.0,,,1.16,1.8,0.925,5800.0
HAT-P-40 b,HAT-P-40,2012,Transit,4.45724,0.0,,,1.52,0.48,1.03,6080.0
TOI-2525 b,TOI-2525,2023,Transit,23.2856,0.17,0.011,-0.01,0.774,0.084,0.849,5096.0
KOI-134 b,KOI-134,2025,Transit,67.1277,0.16,0.02,-0.03,1.074,1.09,1.407,6160.0
Kepler-855 b,Kepler-855,2016,Transit,7.886631104,0.0,,,0.7449371,0.166,1.03,5835.0
HATS-72 b,HATS-72,2020,Transit,7.3279474,0.013,,,0.7224,0.1254,0.7311,4656.1
WASP-46 b,WASP-46,2011,Transit,1.43036763,0.0,,,1.174,1.91,0.828,5600.0
CoRoT-35 b,CoRoT-35,2022,Transit,3.22748,0.0,,,1.68,1.1,1.01,6390.0
HAT-P-27 b,HAT-P-27,2011,Transit,3.039577,0.0,,,1.02,0.62,0.916,5316.0
Kepler-117 c,Kepler-117,2014,Transit,50.790391,0.0323,0.0033,-0.0033,1.101,1.84,1.129,6150.0
K2-97 b,K2-97,2016,Transit,8.407115,0.207,0.039,-0.038,1.2,0.549,1.17,4673.0
Kepler-546 b,Kepler-546,2016,Transit,4.147020258,0.0,,,0.62449817,0.123,1.11,5967.0
HAT-P-49 b,HAT-P-49,2014,Transit,2.69155,0.0,,,1.59,2.2,2.22,6820.0
TOI-6019 b,TOI-6019,2026,Transit,14.547952,0.48,0.04,-0.04,1.09733439,0.46880643,1.13,5561.0
Kepler-522 b,Kepler-522,2016,Transit,38.58422849,0.0,,,0.61646891,0.12,1.54,6392.0
Qatar-2 b,Qatar-2,2011,Transit,1.33711647,0.0,,,1.254,2.494,0.743,4645.0
HD 74156 b,HD 74156,2003,Radial Velocity,51.63564,0.636,0.008,-0.005,1.2,1.675,1.1,6068.0
V830 Tau b,V830 Tau,2016,Radial Velocity,4.927,0.0,,,1.25,0.7,1.0,4250.0
TOI-5592 b,TOI-5592,2025,Transit,2.6085846,0.062,,,1.53,0.899,1.194,6237.0
HIP 65407 c,HIP 65407,2016,Radial Velocity,67.3,0.12,0.04,-0.04,1.24,0.784,0.93,5460.0
HD 43691 b,HD 43691,2007,Radial Velocity,36.9987,0.0796,0.0067,-0.0067,1.18,2.55,1.32,6093.0
HATS-8 b,HATS-8,2015,Transit,3.583893,0.376,,,0.873,0.138,1.056,5679.0
KELT-16 b,KELT-16,2017,Transit,0.9689951,0.0,,,1.415,2.75,1.211,6236.0
CoRoT-12 b,CoRoT-12,2010,Transit,2.828042,0.07,0.063,-0.042,1.44,0.917,1.078,5675.0
HD 6434 b,HD 6434,2003,Radial Velocity,21.998,0.17,0.03,-0.03,1.27,0.49,1.1,5769.0
TOI-2969 b,TOI-2969,2025,Transit,1.8237146,0.0,,,1.1,1.16,0.71,4738.0
Kepler-447 b,Kepler-447,2015,Transit,7.79430132,0.123,0.037,-0.036,1.65,1.37,1.0,5493.0
Kepler-468 b,Kepler-468,2016,Transit,38.478757067,0.0,,,1.19011509,,0.96,5498.0
HATS-59 b,HATS-59,2018,Transit,5.416081,0.129,0.049,-0.049,1.126,0.806,1.038,5670.0
KOI-12 b,KOI-12,2015,Transit,17.855182,0.34,0.08,-0.07,1.23,1.1,1.5,6635.0
NGTS-16 b,NGTS-16,2021,Transit,4.84532,0.0,,,1.3,0.667,1.002,5550.0
K2-30 b,K2-30,2016,Transit,4.098503,0.0,,,1.039,0.579,0.9,5425.0
HD 87646 b,HD 87646,2016,Radial Velocity,13.481,0.05,0.02,-0.02,1.1,12.4,1.12,5770.0
HD 13908 b,HD 13908,2013,Radial Velocity,19.382,0.02,0.018,-0.018,1.24,0.865,1.29,6255.0
HATS-6 b,HATS-6,2015,Transit,3.3252725,0.0,,,0.998,0.319,0.574,3724.0
OGLE-TR-132 b,OGLE-TR-132,2004,Transit,1.689868,0.6,,,1.2,1.18,1.305,6210.0
HATS-66 b,HATS-66,2018,Transit,3.1414391,0.064,,,1.411,5.33,1.411,6626.0
TOI-7041 b,TOI-7041,2025,Transit,9.691,0.04,0.04,-0.04,1.02,0.36,1.07,4700.0
Qatar-5 b,Qatar-5,2017,Transit,2.8792319,0.0,,,1.107,4.32,1.128,5747.0
K2-132 b,K2-132,2017,Transit,9.1751,0.29,0.049,-0.049,1.3,0.49,1.08,4840.0
WASP-76 b,WASP-76,2016,Transit,1.80988198,0.0,,,1.854,0.894,1.458,6329.0
KELT-15 b,KELT-15,2016,Transit,3.32944,0.0,,,1.74,1.31,2.06,6003.0
K2-290 c,K2-290,2019,Transit,48.36685,0.0,,,1.006,0.774,1.194,6302.0
DMPP-2 c,DMPP-2,2026,Radial Velocity,3.168,0.28,,,0.737,0.16294956,1.41,6500.0
HATS-41 b,HATS-41,2018,Transit,4.193649,0.38,0.11,-0.11,1.33,9.7,1.496,6424.0
Kepler-682 b,Kepler-682,2016,Transit,12.611906672,0.0,,,0.65750736,0.134,0.92,5559.0
HATS-77 b,HATS-77,2021,Transit,3.0876262,0.045,,,1.165,1.374,0.655,4071.0
WASP-142 b,WASP-142,2016,Transit,2.052868,0.0,,,1.53,0.84,1.33,6010.0
WASP-53 b,WASP-53,2017,Transit,3.3098443,0.03,,,1.074,2.132,0.839,4953.0
WASP-8 b,WASP-8,2010,Transit,8.15872,0.31,0.0,0.0,1.13,2.54,1.34,5600.0
HD 102956 b,HD 102956,2010,Radial Velocity,6.4947,0.037,0.019,-0.019,1.23,0.96,1.66,4985.0
TOI-4087 b,TOI-4087,2023,Transit,3.1774835,0.0,,,1.164,0.73,1.178,6060.0
HAT-P-66 b,HAT-P-66,2016,Transit,2.972086,0.09,,,1.59,0.783,1.255,6002.0
HAT-P-29 b,HAT-P-29,2011,Transit,5.72319,0.09,0.05,-0.05,1.17,0.88,1.45,6087.0
Kepler-434 b,Kepler-434,2015,Transit,12.8747099,0.131,0.072,-0.072,1.13,2.86,1.198,5977.0
HAT-P-46 b,HAT-P-46,2014,Transit,4.463129,0.123,0.12,-0.12,1.284,0.493,1.284,6120.0
V1298 Tau e,V1298 Tau,2019,Transit,48.677714,0.0124,,,0.90730819,0.04813918,1.1,4970.0
TOI-4214 b,TOI-4214,2025,Transit,3.4913885,0.17,,,0.953,0.52,1.382,6370.0
TOI-3877 b,TOI-3877,2025,Transit,4.123596,0.22,,,1.042,0.314,1.16,5731.0
HATS-43 b,HATS-43,2018,Transit,4.3888497,0.173,0.089,-0.089,1.18,0.261,0.837,5099.0
Kepler-685 b,Kepler-685,2016,Transit,1.6255222,0.0,,,0.94388438,0.248,1.11,5963.0
WASP-49 b,WASP-49,2012,Transit,2.78174,0.0,,,1.11,0.37,0.92,5600.0
HAT-P-13 b,HAT-P-13,2009,Transit,2.91625,0.0133,0.0041,-0.0041,1.272,0.851,1.32,5653.0
WASP-66 b,WASP-66,2012,Transit,4.08605,0.0,,,1.4,2.35,1.33,6600.0
HATS-64 b,HATS-64,2018,Transit,4.908897,0.151,,,1.679,0.96,1.564,6554.0
TOI-2876 b,TOI-2876,2025,Transit,6.2996431,0.13,,,0.86,0.17,0.939,5271.0
CoRoT-13 b,CoRoT-13,2010,Transit,4.03519,0.0,,,0.885,1.308,1.09,5945.0
GJ 86 b,GJ 86,1999,Radial Velocity,15.76491,0.04,0.01,-0.01,1.15,4.42,0.93,5182.0
HD 21411 b,HD 21411,2019,Radial Velocity,84.288,0.4,0.15,-0.15,0.85,0.20734355,0.89,5605.0
XO-5 b,XO-5,2008,Transit,4.1877558,0.0,,,1.14,1.19,1.04,5430.0
TOI-6016 b,TOI-6016,2024,Transit,4.023687,0.0,,,1.22,1.17,1.31,6110.0
HAT-P-39 b,HAT-P-39,2012,Transit,3.54387,0.0,,,1.571,0.599,1.404,6430.0
WASP-43 b,WASP-43,2011,Transit,0.813475,0.0,,,0.93,1.78,0.58,4400.0
TOI-181 b,TOI-181,2023,Transit,4.532,0.1543,0.06,-0.03,0.6339,0.1452,0.822,4994.0
HATS-16 b,HATS-16,2016,Transit,2.686502,0.0,,,1.3,3.27,0.97,5738.0
HATS-3 b,HATS-3,2013,Transit,3.547851,0.0,,,1.381,1.071,1.209,6351.0
CoRoT-36 b,CoRoT-36,2022,Transit,5.616531,0.0,,,1.41,0.68,1.32,6730.0
TOI-1478 b,TOI-1478,2021,Transit,10.1802117,0.055,0.032,-0.032,1.07,0.88,0.947,5597.0
TOI-1294 b,TOI-1294,2024,Transit,3.915292,0.0,,,0.90317747,0.20105188,1.1578,5718.0
WASP-151 b,WASP-151,2017,Transit,4.5334775,0.0,,,1.187,0.316,1.081,5871.0
HD 117618 b,HD 117618,2004,Radial Velocity,25.8,0.15,0.07,-0.07,0.766,0.174,1.077,5990.0
HD 212301 b,HD 212301,2005,Radial Velocity,2.24571,0.0,,,1.27,0.51,1.55,6239.0
WASP-96 b,WASP-96,2014,Transit,3.4252602,0.0,,,1.2,0.48,1.06,5540.0
HD 25912 b,HD 25912,2022,Radial Velocity,41.83156,0.05,0.039,-0.034,0.616,0.12,1.08,5920.58
TOI-4914 b,TOI-4914,2024,Transit,10.60057,0.408,0.023,-0.023,1.14818647,0.71422187,1.03,5805.0
Kepler-816 b,Kepler-816,2016,Transit,10.506825646,0.0,,,0.91355161,0.234,0.9,5286.0
NGC 2682 YBP 401 b,NGC 2682 YBP 401,2016,Radial Velocity,4.087,0.15,0.08,-0.08,1.27,0.46,1.14,6165.0
TOI-375 b,TOI-375,2026,Transit,9.45469,0.087,0.041,-0.042,0.961,0.745,1.441,5259.9
WASP-64 b,WASP-64,2012,Transit,1.5732918,0.0,,,1.271,1.271,1.004,5400.0
WASP-190 b,WASP-190,2019,Transit,5.367753,0.0,,,1.15,1.0,1.35,6400.0
WASP-74 b,WASP-74,2015,Transit,2.13775,0.0,,,1.36,0.72,0.98,5990.0
HD 3651 b,HD 3651,2003,Radial Velocity,62.25,0.645,0.02,-0.02,0.899,0.228,0.799,5221.0
HAT-P-52 b,HAT-P-52,2015,Transit,2.7535953,0.047,,,1.009,0.818,0.887,5131.0
XO-6 b,XO-6,2016,Transit,3.7650007,0.0,,,2.07,4.4,1.47,6720.0
TOI-3912 b,TOI-3912,2023,Transit,3.4936264,0.0,,,1.274,0.406,1.088,5725.0
K2-261 b,K2-261,2018,Transit,11.6334681,0.274,0.065,-0.061,0.827,0.217,1.107,5490.0
Lupus-TR-3 b,Lupus-TR-3,2007,Transit,3.91405,0.0,,,0.89,0.81,0.87,5000.0
HATS-34 b,HATS-34,2016,Transit,2.1061607,0.108,,,1.43,0.941,0.955,5380.0
HAT-P-51 b,HAT-P-51,2015,Transit,4.21802091,0.07,,,1.205,0.307,0.961,5453.0
Kepler-491 b,Kepler-491,2016,Transit,4.225384512,0.0,,,0.7957891,0.186,1.04,5582.0
TOI-3894 b,TOI-3894,2024,Transit,4.33454,0.05,0.052,-0.035,1.363,0.82,1.138,6000.0
TIC 183374187 b,TIC 183374187,2026,Transit,5.05907,0.506,,,1.252,0.56,0.853,5768.0
CoRoT-10 b,CoRoT-10,2010,Transit,13.2406,0.53,0.04,-0.04,0.97,2.75,0.89,5075.0
Kepler-720 b,Kepler-720,2016,Transit,4.708326542,0.0,,,0.75028995,0.168,0.95,5618.0
WASP-36 b,WASP-36,2011,Transit,1.53736596,0.0,,,1.327,2.361,1.081,5959.0
HATS-30 b,HATS-30,2016,Transit,3.1743516,0.096,,,1.175,0.706,1.093,5943.0
TOI-2587 A b,TOI-2587 A,2023,Transit,5.45664,0.0,,,1.077,0.218,1.15,5760.0
55 Cnc c,55 Cnc,2004,Radial Velocity,44.3936,0.088,0.23,-0.23,0.76,0.1714,1.015,5198.0
KELT-24 b,KELT-24,2019,Transit,5.55149296,0.0319,0.0079,-0.0074,1.134,4.59,1.268,6426.0
WASP-94 A b,WASP-94 A,2014,Transit,3.95019,0.0,,,1.58,0.5,1.67,6170.0
HATS-12 b,HATS-12,2016,Transit,3.142702,0.085,,,0.69230083,2.39,1.16,6357.0
Kepler-432 b,Kepler-432,2015,Transit,52.501129,0.5134,0.0098,-0.0089,1.145,5.41,1.32,4995.0
HD 143105 b,HD 143105,2016,Radial Velocity,2.1974,0.07,,,1.22,1.21,1.51,6380.0
HATS-69 b,HATS-69,2018,Transit,2.2252577,0.519,,,0.945,0.577,0.892,5137.0
XO-1 b,XO-1,2006,Transit,3.94153,0.0,,,1.14,0.83,0.88,5750.0
TOI-2364 b,TOI-2364,2023,Transit,4.0197517,0.0,,,0.768,0.225,0.954,5306.0
HATS-18 b,HATS-18,2016,Transit,0.83784,0.166,,,1.329,1.9795,1.037,5600.0
CoRoT-25 b,CoRoT-25,2013,Transit,4.86069,0.0,,,1.08,0.27,1.09,6040.0
WASP-147 b,WASP-147,2018,Transit,4.60273,0.0,,,1.115,0.275,1.044,5702.0
Qatar-4 b,Qatar-4,2017,Transit,1.8053564,0.0,,,1.135,6.1,0.896,5215.0
WASP-4 b,WASP-4,2007,Transit,1.338230994,0.0053,0.0038,-0.0038,1.349,1.2,0.899,5436.0
