search_radius_deg,proxima_geometrically_included
0.5,False
0.55,False
0.6,False
0.65,False
0.7,False
0.75,False
0.8,False
0.8500000000000001,False
0.9,False
0.95,False
1.0,False
1.05,False
1.1,False
1.15,False
1.2000000000000002,False
1.25,False
1.3,False
1.35,False
1.4,False
1.4500000000000002,False
1.5,False
1.55,False
1.6,False
1.6500000000000001,False
1.7000000000000002,False
1.75,False
1.8,False
1.85,False
1.9000000000000001,False
1.9500000000000002,False
2.0,False
2.05,False
2.1,False
2.1500000000000004,False
2.2,False
2.25,True
2.3,True
2.35,True
2.4000000000000004,True
2.45,True
2.5,True
2.5500000000000003,True
2.6,True
2.65,True
2.7,True
2.75,True
2.8000000000000003,True
2.85,True
2.9000000000000004,True
2.95,True
3.0,True
3.0500000000000003,True
3.1,True
3.1500000000000004,True
3.2,True
3.25,True
3.3000000000000003,True
3.35,True
3.4000000000000004,True
3.45,True
3.5,True
