source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe
64163242287720448,57.421773552617374,22.944500325032784,7.353422098732257,0.19323528,19.51293535457157,0.22801597,-44.85613445942927,0.15463762,18.479889,3.70117,1.0459642
64804360644343424,56.66843414271722,22.84418456402768,7.498059675999509,0.10608541,20.17711425081245,0.12077569,-46.9291652190401,0.09301123,17.284359,3.1541195,0.9240154
64934893291213952,57.11688600086402,23.300556775545957,7.461381901990386,0.01333222,20.39867684156513,0.016288392,-45.45754714044436,0.010648313,12.242328,1.3191109,1.0005586
64936508198907904,57.18936995061114,23.33871256339361,7.447798847561577,0.013643309,18.982770188489237,0.016061822,-45.7642685493916,0.011030738,12.882789,1.5054159,0.91519207
64946025846426752,57.2033347873996,23.41318138675708,7.362773276027829,0.093172885,19.200505579399927,0.10576362,-47.02477563440708,0.0806117,17.347544,3.2199097,1.0406598
64981137202021376,56.51728508779695,23.40531966531974,7.349143996550216,0.014684566,19.01388855774152,0.017904876,-45.462388901362175,0.012832305,12.397641,1.3820219,1.0410229
65161250950264192,55.51227170472401,23.9315503764995,7.128559860596797,0.070635475,21.649997198461733,0.090326056,-44.00589987129682,0.060092866,15.541395,2.7090015,0.9305524
65167577439502592,56.15126273681793,23.502902827384094,7.196435385252507,0.036829636,19.261618283223093,0.054714415,-44.18167451157026,0.033114728,15.381319,2.6189442,1.0963196
65202383854448384,56.49673767202074,23.812867344430007,7.584054434284224,0.101854555,20.4579022335004,0.10520784,-46.74669948230612,0.095333606,17.039532,2.792656,1.0317597
65217605216685568,56.45599236233461,23.95146803071827,7.716024514567284,0.18501528,20.44459642689754,0.19723909,-47.82145485344073,0.14245407,18.15369,3.155592,1.0606526
65269041747317248,56.22837645920001,24.110082920860084,3.2448119017215475,0.9040244,17.510342682354874,0.81429744,-44.19136931725038,0.35981828,18.67756,1.121357,1.3483678
65275020341243520,56.19942719256715,24.214450818193416,7.226131411222815,0.07371257,19.303777387711943,0.07607105,-44.73235024108452,0.060042463,16.460293,3.0200386,1.0059536
65289279632598016,55.96571153528893,24.23762305439736,7.258986318244718,0.061165422,18.739842453436488,0.067766555,-45.7796111765911,0.050062336,16.479933,3.1174393,1.0665101
65296357738731008,56.39368645440966,24.463106878376045,7.351642646560689,0.03236741,18.45262299245357,0.039106637,-46.101289273382704,0.023752518,8.54996,0.49812222,1.2320466
65298208867376384,56.15747412516159,24.427286641096316,7.193774850830724,0.14655015,20.052625862739475,0.17102176,-43.7315948503144,0.124899134,17.7707,3.3192596,1.0870405
65688539793220480,57.96486380442858,23.58017097963821,7.326865311897123,0.11028499,20.0452507330728,0.14771363,-47.20577088380842,0.07710268,17.595358,3.238186,1.0502069
