SOURCE_ID,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,phot_bp_rp_excess_factor
1328055500546137088,250.51761206066465,36.4537686492779,-1.9894789770592731,-3.128970994251556,1.0403306,0.9746753,-0.6868164446896694,0.91936445,20.486092,0.59108925,19.912464,19.321375,1.2146987,2.4605944
1328060585796066944,250.6569105984598,36.44291556934027,-3.5302228471845947,-2.1626518406718005,0.43182442,0.5042997,0.012222544437823973,0.4379718,20.17531,0.50715446,20.057348,19.550194,1.0169924,1.5570688
1328032857480160256,250.3315351483057,36.33886422241045,-3.298656975684475,-3.1117711610860055,0.3434203,0.38531715,0.19722231546937874,0.33758026,19.803452,0.7186451,19.935448,19.216803,1.0228208,1.3647567
1328058592923614592,250.4737068116539,36.46135438548138,-3.3626168322133183,-2.8427614630324993,0.08517791,0.11448189,0.10627535366645258,0.09957246,17.758247,0.74217415,17.822407,17.080233,1.1489509,1.469597
1328055221374243840,250.5454237423262,36.4179211049181,-2.8227634068941283,-2.2012942343213697,0.11896505,0.13779493,0.07804654376347395,0.12943287,18.375017,0.645277,18.621748,17.97647,1.0202858,1.1854162
1328058279393981824,250.40828875570875,36.502921997427606,-3.2256784056208767,-2.1966127571608665,0.05746702,0.06591066,0.1579797291264935,0.059797004,17.034033,0.9473057,17.345171,16.397865,0.9891388,1.3007946
1328055049575532800,250.54320686682027,36.41144547826718,-3.1805510229297695,-2.4318278961326425,0.15635273,0.17917794,0.420048789365934,0.17176436,18.807234,0.68244743,19.079878,18.39743,0.9854459,1.1781235
1328105425255739520,250.33247779487715,36.53540934156294,-3.020775681390504,-2.75641471816015,0.278618,0.35323867,-0.40852103838470033,0.2738301,19.56431,0.7703705,19.640547,18.870176,1.0152283,1.4737916
1328058455483973376,250.50374750637064,36.461495120909724,-3.098191911245529,-2.8610174378390543,0.21369602,0.26461142,0.5814599365990267,0.23911744,19.2579,0.66628456,19.589748,18.923464,1.0524542,1.1070105
1328104531897224960,250.32998102786797,36.45146367379594,-2.8361511166107376,-2.122742480912572,0.3270889,0.43814343,-0.14379320417080488,0.33441725,19.73564,0.8875351,20.01028,19.122746,0.9911468,1.303371
1328031272636218496,250.19304167925512,36.25297451278403,-3.337264048014835,-2.6184305260674776,0.29769525,0.33467394,0.014189607690368741,0.28195742,19.685944,0.7301693,20.002924,19.272755,0.96929735,1.1574678
1328059932956295424,250.44783480212712,36.544022201499466,-2.6720013925243458,-2.710612787857592,0.1335447,0.14853404,0.23381387771645928,0.13484748,18.546625,0.6502571,18.746061,18.095804,0.98028964,1.2411138
1328106039426025088,250.27804317504675,36.53952976694117,-2.54231625563946,-3.9502176128311373,1.2775263,1.1734427,-1.2677564003738055,1.039378,20.804043,0.93120384,21.235193,20.30399,1.0429404,1.1547043
1328106215525169408,250.302512406985,36.54051670613352,-3.2092269659167223,-2.0759662993978694,0.28887382,0.37645972,0.10427479754990232,0.30254972,19.763857,0.56666183,19.888222,19.32156,0.96332127,1.2793335
1328059692437629696,250.42991874102682,36.50459980963283,-2.8846335053350445,-3.4781314263466045,0.22399877,0.21913329,0.6529903835892366,0.22100519,18.246078,0.65304947,17.830587,17.177538,1.7338203,2.189557
1328054229235250688,250.56842975385248,36.37804849059041,-3.5701886743460554,-3.1405536636360427,0.59718776,0.7454182,0.0538989647653018,0.56080973,20.340054,0.8371048,20.721092,19.883987,1.0179968,1.1512455
1328056359548470912,250.41618591252913,36.39299806486035,-2.9554548933830262,-2.5920835761715146,0.06528144,0.074238375,0.03951169806336118,0.06353079,17.097897,0.89801025,17.452776,16.554766,1.0731151,1.2171862
1328032994924087552,250.35258411863362,36.370642708237156,-1.7310756340112188,-3.7109887505574974,1.0808715,1.5192399,0.8941234265603701,0.99305946,20.752768,0.6178913,20.699392,20.081501,1.667809,1.5428843
1328052854845767552,250.45289249872593,36.30235691104252,-2.9069400321791625,-2.4901831833441515,0.29113895,0.33692864,0.20669933854171785,0.30332208,19.675394,0.46828842,19.46055,18.992262,0.9620576,1.6736128
1328104978574464512,250.30024142647784,36.493022285787355,-3.0972917953682617,-3.0474770526713515,0.13721533,0.16245575,-0.020259121512209675,0.13570839,18.542679,0.68245125,18.743692,18.061241,0.96489334,1.2584723
1328105047293343360,250.3591626455148,36.48399528818564,-4.066974272924468,-3.4118308226433838,0.6592959,1.0562972,-0.576737389244642,0.37930477,19.63881,1.0776405,20.14979,19.07215,1.0155118,1.1623538
1328105768848506752,250.29883895012526,36.50879226186354,-3.2589884246001235,-3.324783518810726,0.6569889,0.7553968,0.45660182221307366,0.616344,20.472502,0.8749943,20.832758,19.957764,1.07882,1.1966847
1328056668777329280,250.441334814925,36.38281011078176,-3.356073393359321,7.302353368695618,1.149844,2.5590093,2.4102938462640777,1.3274956,20.639748,0.62415695,19.651405,19.027248,1.1447071,3.660925
1328059447625095936,250.45518672090196,36.50066478856746,-2.9996424487422373,-2.2473274472387472,0.14057522,0.15824915,0.3408023022344885,0.1472391,17.79227,0.75946426,17.911278,17.151814,1.7734874,1.4091972
1328052713113158784,250.5365650810971,36.35352605255576,-3.3090374950014896,-2.6946992221670536,0.26052228,0.32107356,0.5074011005050414,0.28845015,19.533052,0.77272034,19.893972,19.121252,1.003931,1.1351978
1328056806216420224,250.46420482946544,36.415494908622165,-2.3122463018094446,-2.971995502638166,0.58244973,0.40131745,0.7125186401466093,0.50722194,19.668356,0.673275,20.22233,19.549055,0.97090644,0.9052126
1328056840576092928,250.47334885979234,36.42047371615346,-3.7640959892524752,-2.4443821075222796,0.5858297,0.61191285,-0.4564430744380857,0.44583556,19.380756,0.8254051,18.759789,17.934383,1.1174918,2.8798616
1328059967322049024,250.48636197762312,36.52091710052504,-3.4090696806589906,-2.868736075224363,0.27742466,0.33300883,-0.13274916816093538,0.29668057,19.578865,0.68899345,19.917063,19.22807,1.0503993,1.1125929
1328082369871323136,250.23351424114895,36.479551437340845,-8.006125131590869,-3.6556797900275333,0.03446327,0.043059837,1.138166350627494,0.032680355,15.609833,1.0125647,16.017254,15.004689,1.2954761,1.2332813
