transit_number,depth_ppm,quarter,parity
0,49.042354414607914,0,even
1,54.5988773288375,0,odd
2,27.69201908758845,0,even
3,-23.91720732541902,0,odd
4,94.73267598469891,0,even
5,107.93778456408276,1,odd
6,93.8563154693206,1,even
7,-9.427936389805325,1,odd
8,128.0628026267827,1,even
9,-14.38364654338109,1,odd
10,63.91053033394378,1,even
11,102.46837274840992,1,odd
12,100.83661452686687,1,even
13,96.99896093251503,1,odd
14,84.00533065200389,1,even
15,83.91467741730719,1,odd
16,29.764478666205463,1,even
17,82.64553213421789,1,odd
18,46.89793998990943,1,even
31,2826.407210251514,2,odd
32,996.3706065173606,2,even
33,1194.6480870408393,2,odd
34,4440.755139109132,2,even
35,3502.1116476627867,2,odd
36,-12.848260660613953,2,even
37,66.85298245656668,2,odd
38,3124.8290776071385,2,even
39,141.87121467879038,2,odd
42,70.4252792291804,2,even
44,5810.11555569555,2,even
45,73.2470934863283,2,odd
46,103.65664500322502,2,even
47,8.855693679699073,2,odd
48,-9.966407802375343,2,even
49,5299.307136530373,2,odd
53,12.187836047283795,2,odd
54,43.88821749035099,2,even
55,1872.4538754948394,2,odd
56,4188.562994691836,2,even
57,2985.6595999832034,2,odd
58,2519.6399773269595,2,even
59,2960.1732137660706,2,odd
60,3440.7521972177337,2,even
62,36.02316073103573,2,even
64,7.29985992098392,3,even
65,31.752888626890297,3,odd
66,46.863298256982766,3,even
67,184.1186891131663,3,odd
69,5203.027729554499,3,odd
70,1110.660168689992,3,even
71,-26.525828436430032,3,odd
72,1113.3938610885518,3,even
73,4267.1135903264985,3,odd
74,2902.340190895747,3,even
75,144.25484501900954,3,odd
76,128.72386732754038,3,even
78,71.61673272082503,3,even
79,205.23721390475202,3,odd
80,-22.109863793140505,3,even
81,5587.727343322579,3,odd
82,2082.6830800362295,3,even
83,4511.193268748159,3,odd
84,3041.4280568763497,3,even
85,3701.1791827219477,3,odd
86,-52.210520750328726,3,even
87,4581.788621891514,3,odd
88,312.3919478038584,3,even
89,24.362906978492305,3,odd
90,5503.1330818537945,3,even
93,5791.823015346753,3,odd
95,1748.6919582280213,3,odd
96,4956.21435873439,3,even
97,4373.817715588424,3,odd
98,6263.580217800269,3,even
99,5228.6223001409835,3,odd
100,5819.370223360654,3,even
101,5594.24614827253,3,odd
102,2979.1839838069213,3,even
103,4077.3773135375222,3,odd
105,5920.988676642481,4,odd
106,2100.7429668429277,4,even
107,2281.142798469693,4,odd
108,5500.055736179843,4,even
109,5133.016948314473,4,odd
