quarter,mean,std,count
0,40.42974389806275,43.377786943316785,5
1,71.24912550916994,43.199570636648396,14
2,1827.8391909293923,1908.7194259969222,25
3,2614.1248985004268,2331.937683695329,35
4,4103.634519996843,1987.4645909291721,39
5,5409.7765701385815,1218.8727350395131,41
6,6147.785805978753,387.4181663492101,40
7,6078.683418471064,563.4961575858296,35
8,6291.2335530138635,140.32564708452256,29
9,6291.732329959899,202.9717133403572,44
10,6189.901987982307,145.53823358145732,41
11,6083.780858248338,469.9241157855345,32
12,5894.8752884963915,929.1722505118947,33
13,4921.681230450252,1753.6765574224257,38
14,3497.8504988469513,1449.5022866774243,39
15,1346.846057992739,1427.4349294441934,24
16,167.20170857560322,306.26611265940994,32
17,268.5908955791692,720.6284170841485,11
