wavelength_A,flux,error
5322.943679262424,6.534711140260274e-12,7.572188251317273e-15
5327.813092697744,6.507868462873878e-12,7.71517334204443e-15
5332.682564832262,6.537065160017175e-12,8.059990290476288e-15
5342.421684754823,6.519698843299171e-12,7.76939446209702e-15
5352.161038141811,6.410701830494858e-12,7.981841336696712e-15
5361.900624104722,6.3952033772796124e-12,7.864215565377402e-15
5366.770504024428,6.320268960968711e-12,7.787127096847788e-15
5371.640441754828,6.321429924655009e-12,7.951233801147678e-15
5376.510437184796,6.265638615582381e-12,7.918336735542215e-15
5381.380490203196,6.2441102635646395e-12,8.07310405456568e-15
5386.250600698879,6.19050991024217e-12,8.007016002922057e-15
5391.120768560678,6.159403716232692e-12,8.038636589876007e-15
5395.990993677419,6.0871164879461315e-12,7.661750974061101e-15
5405.731615230953,6.003330645099059e-12,7.442456685115804e-15
5420.342974193142,5.873016482860205e-12,7.826224443627152e-15
5430.084163291366,5.9183777670335225e-12,7.314519981729568e-15
5444.69636939835,5.894832365294089e-12,7.298106177277674e-15
5454.438120477516,5.839289121678526e-12,7.122943998950221e-15
5464.180094790484,5.760834951434868e-12,7.106108372090594e-15
5469.051165381238,5.788131692691101e-12,6.8660808341788806e-15
5478.793472874364,5.749577029756647e-12,6.647672541696412e-15
5488.536001373596,5.725818690710538e-12,6.854612008073057e-15
5493.407348221937,5.702854855016426e-12,6.954619917605952e-15
5508.021717824443,5.687414948718494e-12,6.649357290228501e-15
5522.636578672088,5.653235258390454e-12,6.4250079086539905e-15
5546.995763562724,5.579880741485299e-12,6.655439833822734e-15
5551.867762058537,5.5381099012263846e-12,6.195447156871498e-15
5556.7398141332105,5.528282692734976e-12,6.564225820348234e-15
5576.228555988104,5.4189686592154285e-12,6.2060651383818045e-15
5595.71814617365,5.347225700419456e-12,6.0708464927480225e-15
5610.335891229818,5.3179904056788185e-12,6.295791762000926e-15
5615.208577541631,5.249212956665028e-12,6.317851888079217e-15
5624.954106434365,5.2791044105604534e-12,6.285748492345332e-15
5629.826948791733,5.272953514795509e-12,6.316041355154461e-15
5634.699842940715,5.2844139654395494e-12,5.858886662093001e-15
5639.572788769505,5.174739109436999e-12,6.291599372428491e-15
5649.318835019227,5.202604406312483e-12,5.888265999868516e-15
5654.191935216487,5.169122074821786e-12,5.842452528850373e-15
5663.938289196539,5.135633671798923e-12,5.626619640044031e-15
5673.684847211474,5.110840136518524e-12,5.662165801192031e-15
5688.3050648410735,5.088586236406956e-12,6.114504264915404e-15
5693.178571765174,5.083948019513063e-12,6.019724242732963e-15
5702.925736513058,5.0182913380325544e-12,5.980903028694404e-15
5707.799394112913,5.02504982069496e-12,6.1705481998704844e-15
5732.168429891676,4.911952788955176e-12,5.617307359821917e-15
5746.790445549709,4.893126268751269e-12,5.372546178284473e-15
5751.664549128541,4.899471887226392e-12,5.426342511314014e-15
5766.287153374306,4.839319483335158e-12,5.5080981313829994e-15
5771.16145225229,4.802674750947755e-12,5.863722796705349e-15
5776.0357996747625,4.801175516183642e-12,5.6076973475188436e-15
5785.784639704598,4.769612222538244e-12,5.754896850675064e-15
5795.53367256654,4.747874836341648e-12,5.2518173017628966e-15
5800.408261029106,4.713113579968287e-12,5.227156361020061e-15
5819.907092471926,4.658006185626062e-12,5.2538175700678376e-15
5824.7819191696435,4.676493567390416e-12,5.206721267651078e-15
5829.656793177676,4.6515677594449745e-12,5.403594594482553e-15
5834.531714383758,4.625031694432957e-12,4.908384828683325e-15
5839.406682675619,4.625148354586717e-12,5.147494182880215e-15
5844.28169794097,4.583740071534281e-12,5.4056804131151666e-15
5854.031868942945,4.575846212356849e-12,5.14918316657704e-15
5858.907024454945,4.547177304831118e-12,5.1190567457420465e-15
5863.782226491184,4.5119212185862345e-12,5.105037079915567e-15
5873.532769687008,4.204729880247227e-12,5.239082161400928e-15
5878.408110621881,4.115302282975408e-12,4.744115070541089e-15
5883.28349763157,4.179075054761006e-12,5.057025134882825e-15
5888.158930603689,4.341589154160941e-12,5.1957293210945586e-15
5907.661119868464,4.408213377660175e-12,5.2952163053648915e-15
5912.5367809666295,4.415637126775618e-12,5.188661254666195e-15
5917.41248735271,4.407643520998317e-12,5.150607875994322e-15
5927.164035538766,4.39902281268445e-12,4.973268399475952e-15
5932.039877113799,4.371508363631982e-12,5.003728974808637e-15
5936.915763526855,4.3545505742925705e-12,5.1762340107805536e-15
5941.791694665433,4.3226906429327805e-12,5.140617545897931e-15
5951.543690669113,4.320551728886901e-12,5.189547674645497e-15
5956.419755309167,4.312209443690929e-12,5.150679026761891e-15
5961.295864224645,4.287786271872651e-12,5.08640320210892e-15
5966.172017302999,4.264078673488214e-12,4.978067688155095e-15
5971.0482144316675,4.272767469698513e-12,4.791364685921302e-15
5975.92445549808,4.273270105825677e-12,5.169537791816035e-15
5980.800740389655,4.229995260313091e-12,5.110429291657788e-15
5985.677068993803,4.229694285790009e-12,4.8012881004148595e-15
5990.55344119792,4.1956117399766235e-12,5.1549497668819475e-15
5995.429856889397,4.189508115426399e-12,4.8207834107288645e-15
6000.306315955611,4.203454858492384e-12,5.068177594182849e-15
6005.182818283934,4.171914549933042e-12,4.992035261455318e-15
6010.0593637617185,4.156804241095546e-12,5.0252469998006855e-15
6019.812583715067,4.109425039838799e-12,4.7666956983654675e-15
6024.689257965299,4.102972735869903e-12,4.958343255428857e-15
6034.442734449462,4.091471085543308e-12,4.926904780558567e-15
