filter,ring_inner_arcsec,ring_outer_arcsec,ring_to_ejecta
F150W,0.5,1.05,5.579796744931502
F200W,0.5,1.05,10.640250263776643
F356W,0.5,1.05,22.033070385494405
F444W,0.5,1.05,21.166672312373883
F150W,0.5,1.15,6.300974009146661
F200W,0.5,1.15,11.729063691296387
F356W,0.5,1.15,25.555534029468365
F444W,0.5,1.15,24.77073095206215
F150W,0.5,1.25,6.817698046181297
F200W,0.5,1.25,12.44751013818049
F356W,0.5,1.25,27.868645760117072
F444W,0.5,1.25,26.876420073366138
F150W,0.55,1.05,5.250123167358891
F200W,0.55,1.05,10.148856603597276
F356W,0.55,1.05,21.20033477150866
F444W,0.55,1.05,20.464777628245578
F150W,0.55,1.15,5.9713004315740505
F200W,0.55,1.15,11.237670031117021
F356W,0.55,1.15,24.722798415482615
F444W,0.55,1.15,24.068836267933843
F150W,0.55,1.25,6.488024468608685
F200W,0.55,1.25,11.956116478001128
F356W,0.55,1.25,27.035910146131332
F444W,0.55,1.25,26.174525389237832
F150W,0.6,1.05,4.8744396491854864
F200W,0.6,1.05,9.458862603362508
F356W,0.6,1.05,20.061654429124705
F444W,0.6,1.05,19.488894901860988
F150W,0.6,1.15,5.595616913400645
F200W,0.6,1.15,10.547676030882252
F356W,0.6,1.15,23.584118073098658
F444W,0.6,1.15,23.092953541549253
F150W,0.6,1.25,6.1123409504352795
F200W,0.6,1.25,11.266122477766359
F356W,0.6,1.25,25.897229803747372
F444W,0.6,1.25,25.19864266285325
