line,measured,snr_ge_3,median_snr_detected
OIII-5007,43,39,21.439138722131602
Hb,44,36,7.608455186504736
OIII-4959,43,34,10.675189039627995
Ha+NII,32,30,14.592494139496772
Hg,46,19,4.528750820313772
OII,48,11,5.365070657448654
NeIII-3867,47,11,5.416981208359662
Lya,48,7,4.175429707081567
NeIII-3968,47,7,5.795071414969758
Hd,46,7,5.258868354402295
CIII-1906,48,5,3.794793505576855
OIII-1663,48,4,3.918797438446758
HeI-3889,47,4,4.146857891254719
OIII-4363,46,3,6.067434214548072
HeI-5877,39,2,4.331157277200122
SII,28,2,3.446363450580762
MgII,48,1,5.304397464383057
OI-6302,33,1,3.5069544007926194
ArIII-7138,16,1,3.3234577752818844
NIII-1750,48,0,
NeV-3346,48,0,
NeVI-3426,48,0,
HeII-4687,46,0,
HeI-7065,16,0,
OII-7325,3,0,
OIII,0,0,
ArIII-7753,0,0,
HeI-8446,0,0,
Pa10,0,0,
SIII-9068,0,0,
Pa9,0,0,
SIII-9531,0,0,
Pa8,0,0,
PaD,0,0,
HeI-1083,0,0,
PaG,0,0,
PaB,0,0,
PaA,0,0,
BrD,0,0,
BrG,0,0,
BrB,0,0,
PfE,0,0,
PAH-3.29,0,0,
PfD,0,0,
PAH-3.40,0,0,
PfG,0,0,
BrA,0,0,
PfB,0,0,
