id_msa,z_spec,f_OIII-5007,e_OIII-5007,mu,mu_low_68,mu_high_68,snr_OIII5007,flux_divided_by_mu
3686,9.318165,719.00284,30.713185,1.6335622,1.6220613,1.637684,23.410233748144325,440.1441463324751
7309,6.346668,41.235081,11.359014,2.0785094,2.0599528,2.0895958,3.630163762453326,19.838775326202516
8613,6.380238,125.5628,11.006574,7.2056086,6.9463765,7.4450842,11.407982175016494,17.42570363869056
8943,6.325826,1397.205197,23.39217,2.0969157,2.0898774,2.1327911,59.72961024992551,666.3144336226774
10646,8.51059,4608.849495,61.115756,1.4066665,1.3968289,1.4099672,75.41180534525337,3276.4336784874026
10740,6.141379,101.118581,15.423341,1.8575374,1.8383891,1.8670729,6.55620471595616,54.43690178189683
11045,6.331689,791.010643,17.213142,2.0040676,1.9849379,2.0154141,45.95387890252691,394.7025754021471
11254,6.87195,453.633876,9.901359,5.1585815,5.1123408,5.2863374,45.81531444319916,87.93771621132669
12899,6.873525,37.465665,5.505315,13.345513,13.239698,13.864782,6.805362635925465,2.807360421439026
16155,6.87195,208.649306,6.012177,11.450019,11.269203,13.170924,34.70445164871227,18.222616573824027
18924,7.68681,155.014777,5.662093,17.629533,16.770944,19.74211,27.377645863464274,8.792903192614348
19025,7.55577,58.670027,11.150366,1.5121514,1.4981824,1.5139163,5.261713113273591,38.79904287361702
20466,8.503934,432.444361,14.437898,1.3489872,1.3383951,1.3521372,29.952030482553624,320.5696547750787
22223,9.569852,453.514952,40.975006,4.3432222,4.2100646,4.4000197,11.068087506808418,104.41900762065548
23604,7.882703,117.442357,7.025696,1.8716421,1.8475975,1.8766444,16.716117093594715,62.74829840598264
23619,6.716076,73.89262,4.887593,1.845278,1.8227271,1.8497403,15.118406954097855,40.0441667867931
24531,7.89159,1483.236933,26.632481,2.0253316,1.9987777,2.0282456,55.69278104431953,732.3427595757653
24714,6.352246,574.679273,17.21299,1.4323106,1.4208772,1.4346921,33.38637116503291,401.2253159335691
25447,6.247132,201.986653,12.133633,3.511165,3.4071265,3.5343146,16.646840480505716,57.526961279233525
27335,6.753977,53.682938,6.329239,1.4644124,1.4511442,1.4657037,8.48173658792155,36.65834706125133
27506,6.132101,206.501926,6.152407,1.4878033,1.4734879,1.487639,33.56441243240247,138.79652370713254
28308,6.363283,385.735333,18.85944,1.7219904,1.696704,1.7207186,20.45317003049932,224.00550723163153
28876,7.042225,23.019646,5.02512,3.1073255,3.0394506,3.1045319,4.580914684624447,7.408186236041252
30390,6.372124,464.150513,15.317074,1.721673,1.6987084,1.7209732,30.302818475643587,269.59272347304045
32065,6.30023,81.784205,5.256863,1.9813938,1.946008,1.9805567,15.557606313879589,41.27609816887486
33673,6.774164,162.072569,5.752011,1.7741765,1.7477507,1.7751936,28.176679251830354,91.35087123518996
34265,6.351511,357.504934,11.971178,1.636783,1.6191617,1.6368389,29.86380571736549,218.41926144149835
35123,6.254383,144.434471,11.734308,2.1010257,2.067304,2.0997364,12.308733587016805,68.7447426273748
36755,6.252933,172.748352,4.633867,1.7172011,1.6942938,1.7160548,37.279523128307304,100.59878950694826
36857,6.764063,188.938304,7.542374,4.3271679,4.1578769,4.4074547,25.05024333187402,43.6632708428069
37504,6.561018,127.886392,5.96509,1.5231723,1.5070289,1.5219018,21.439138722131602,83.96055521755484
38059,7.589203,117.767605,8.598548,1.5955704,1.5745872,1.5945032,13.69621998970059,73.80909360063336
38248,6.554216,92.870597,5.779176,1.5166775,1.4996442,1.5157552,16.069868264956806,61.23292328131723
38335,6.231206,121.986077,11.314859,2.1543656,2.0923559,2.185223,10.78105144748158,56.622737106459546
41225,6.768724,425.217268,11.616172,1.8838621,1.8393792,1.9120896,36.60562774036059,225.71570817205782
43709,6.726886,89.38687,5.964205,2.3924834,2.3546158,2.3997696,14.987222940861356,37.36154240401417
52621,6.189387,278.496926,11.102883,1.4544239,1.4456344,1.455309,25.08329827487149,191.4826385897536
60141,7.127927,67.068485,9.289332,1.5604206,1.5441537,1.5625943,7.219947031713367,42.98103024274352
60157,7.880038,307.255385,8.541359,1.9488461,1.9194603,1.9527614,35.97265786393008,157.66015849070894
