id,z_phot,f_f444w,e_f444w,mu,mu_low_68,mu_high_68,intrinsic_f444w_proxy
163,7.188175,1.429695,0.2407574,1.250534,1.245008,1.26143,1.1432675960829533
218,7.809163,1.363585,0.2159544,1.253535,1.249348,1.265586,1.087791725001695
219,6.605646,3.894841,0.1879165,1.244783,1.241182,1.254633,3.128931709382278
220,6.625087,6.055868,0.2684966,1.244739,1.240993,1.255327,4.865170931416144
292,10.5944,2.327575,0.4547812,1.232457,1.228616,1.242222,1.8885648748800161
293,12.10829,2.098905,0.4034593,1.233649,1.230271,1.244803,1.7013794037039707
299,7.565202,11.67353,0.2352029,1.259677,1.255862,1.269905,9.267081958311536
444,6.602324,21.48061,0.4307761,1.252356,1.247925,1.262296,17.152159609567885
456,7.608201,3.721473,0.4101877,1.260327,1.255765,1.270128,2.952783682330062
514,6.673044,13.54792,1.076597,1.221975,1.219447,1.230845,11.086904396571123
520,6.533679,2.324449,0.2354745,1.263272,1.257581,1.272526,1.8400225762939415
565,10.63122,0.9119344,0.176835,1.267888,1.261487,1.276091,0.7192546975758112
591,7.439803,1.158855,0.1821355,1.266346,1.259789,1.276788,0.9151171954584292
731,6.359667,2.20628,0.1860132,1.259062,1.255165,1.268503,1.7523203781863008
937,6.100114,1.495302,0.1605466,1.266259,1.259626,1.276318,1.1808816363792873
1012,8.271218,5.370626,0.8805792,1.242184,1.23808,1.25404,4.323534999645785
1072,7.054107,1.723287,0.2640079,1.253435,1.249854,1.265958,1.3748515080558623
1182,8.169832,1.723823,0.1765115,1.278048,1.272362,1.287753,1.3487936290342772
1298,6.02282,1.305099,0.1843096,1.254659,1.250248,1.265509,1.0402021585147838
1455,6.67171,3.330078,0.4385854,1.229591,1.226088,1.238144,2.708281046299135
1499,6.577326,2.339743,0.1985395,1.27898,1.274327,1.291157,1.8293820075372562
1621,6.185078,1.998652,0.28961,1.282324,1.275563,1.295886,1.5586170109894224
1767,11.35853,2.168467,0.2103517,1.295662,1.287997,1.304369,1.6736363341673985
1796,9.743429,3.589707,0.3785088,1.261959,1.258247,1.274228,2.844551209666875
1814,6.596529,2.079393,0.1974148,1.290309,1.28405,1.300551,1.6115465365272972
1815,6.290492,3.117375,0.199566,1.28957,1.283663,1.299821,2.4173755592949586
2513,6.094414,1.147002,0.2276828,1.283507,1.278134,1.295853,0.8936468597366435
2734,9.775643,1.654975,0.1997148,1.313544,1.307681,1.326267,1.2599311481001016
2877,7.329108,2.452188,0.2062674,1.315177,1.309067,1.326899,1.8645307817883068
3019,6.691614,2.123076,0.3874734,1.239174,1.235146,1.248754,1.7132993429494165
3056,8.281044,1.158127,0.1947186,1.305926,1.301473,1.320957,0.886824368302645
3058,6.777114,3.810714,0.4598116,1.224497,1.21929,1.232033,3.1120647906854817
3112,11.90327,1.64762,0.2137378,1.321474,1.315505,1.334513,1.2468047044436743
3156,6.578536,1.090142,0.1666213,1.31618,1.309845,1.32937,0.8282620918111505
3417,7.912174,1.145022,0.2040764,1.336929,1.328432,1.348624,0.85645684998979
3530,6.651194,2.838901,0.2799095,1.272684,1.267543,1.288221,2.230640913219621
3752,6.558207,1.532289,0.2303387,1.30206,1.297896,1.315846,1.1768190405972074
3796,7.732708,1.953139,0.2184528,1.346071,1.338023,1.359387,1.4509925553704075
3855,6.670758,6.082697,0.3808988,1.261769,1.258061,1.271955,4.820769094818465
3943,6.741341,8.978589,0.2522248,1.34331,1.333534,1.356861,6.683929249391428
4131,8.168807,0.8505132,0.16004,1.355212,1.348502,1.369921,0.6275868277435559
4137,6.083827,1.290127,0.2227076,1.341582,1.335173,1.356959,0.9616460268548623
4206,6.66685,2.075821,0.2950941,1.267393,1.267263,1.282266,1.6378668652896142
4271,7.615453,0.8613303,0.1715646,1.340584,1.334402,1.353633,0.6425037893932793
4413,14.96931,1.966589,0.196644,1.330632,1.326688,1.345514,1.4779360484341275
4442,6.4828,2.260236,0.2061749,1.307138,1.302767,1.324309,1.7291487203340428
4589,6.541636,18.91466,0.5310801,1.324677,1.319605,1.339459,14.278695863217976
4641,8.324059,2.297138,0.2759778,1.377358,1.370737,1.392152,1.667785717293543
4647,10.58349,1.044794,0.1738001,1.368454,1.363599,1.383757,0.7634849253244902
4651,8.401643,1.379246,0.20233,1.331651,1.327766,1.346389,1.0357413466441283
4770,6.592555,0.9496706,0.1869118,1.377609,1.370876,1.394331,0.6893614951702551
4803,7.338894,1.498777,0.2843772,1.367878,1.35987,1.379212,1.095694937706433
4804,10.31697,6.118226,0.7972772,1.289979,1.285612,1.303585,4.742888062518848
4824,11.75323,2.844506,0.5039459,1.371333,1.362952,1.383051,2.074263508571587
4851,10.7351,2.986124,0.5474563,1.302663,1.297883,1.315239,2.2923227265992816
4915,6.362417,1.263593,0.189038,1.324534,1.323383,1.339532,0.9539906110375421
4916,6.452965,9.986424,0.2861068,1.32448,1.322313,1.340802,7.539882821937665
4934,8.188102,1.29876,0.1556956,1.38821,1.382089,1.403934,0.9355645039295207
4937,10.74466,5.098022,0.6432863,1.306457,1.301385,1.320838,3.902173588568166
4962,9.326833,3.185675,0.6248576,1.307525,1.303673,1.319176,2.4364161297107128
4975,6.12551,2.843138,0.5483537,1.271957,1.272804,1.285538,2.2352469462411073
4996,10.61395,5.606358,0.5936694,1.303658,1.29916,1.317607,4.300482181676482
5011,6.486091,0.8788441,0.1663241,1.381531,1.376514,1.397098,0.6361378065349239
5102,6.714802,1.285083,0.1887785,1.333484,1.329568,1.350432,0.9637033515212782
5158,7.875649,1.289018,0.1415457,1.39185,1.38407,1.409765,0.9261184754104249
5234,10.44652,3.509207,0.6928997,1.31881,1.314521,1.334107,2.660888983250051
5372,6.363122,4.344543,0.3857951,1.327013,1.324723,1.344522,3.273926479996805
5461,7.758698,1.597633,0.1606634,1.383611,1.38101,1.400518,1.1546836502456255
5595,9.351241,4.051427,0.6372713,1.308898,1.304979,1.323511,3.095296195731066
5606,6.652209,2.950498,0.3384402,1.282642,1.282285,1.299282,2.300328540621623
5797,6.991526,3.266121,0.2841627,1.302174,1.301802,1.318549,2.5082062765805495
5819,6.13239,1.484131,0.1907391,1.3522,1.34686,1.368144,1.097567667504807
5828,6.748558,32.05605,1.760295,1.300268,1.294663,1.311616,24.653417603140277
5834,11.10627,2.634391,0.4185827,1.298227,1.298606,1.314431,2.0292221622258664
5913,6.266582,4.507125,0.678493,1.281494,1.276342,1.291652,3.51708630707596
6014,9.801608,3.520943,0.5418562,1.337253,1.333833,1.353854,2.6329669853049498
6243,10.70772,2.478436,0.2278452,1.417726,1.413155,1.433821,1.7481770102262353
6390,6.125957,3.927725,0.2632601,1.439317,1.434801,1.460742,2.728881129035508
6403,6.875743,9.121189,0.5717053,1.365492,1.362794,1.384088,6.6797820858708805
6440,11.83268,5.323233,0.1941917,1.450962,1.443544,1.467426,3.6687611391614667
6512,6.489378,1.223542,0.1404504,1.395048,1.391628,1.41637,0.8770608609882956
6513,6.5027,2.090225,0.1427158,1.394841,1.389887,1.416136,1.4985399769579473
6788,6.773118,1.994659,0.3189011,1.363441,1.363911,1.37986,1.4629595266681874
6861,6.219833,3.205293,0.3033478,1.32049,1.320217,1.337947,2.427351210535483
6938,6.674407,3.563749,0.4377481,1.273246,1.267833,1.282121,2.7989477288756452
6954,6.011453,26.73749,0.2322199,1.465551,1.45886,1.4801,18.24398468562336
7000,8.238644,0.8536054,0.1361438,1.484499,1.475899,1.499402,0.5750124452761504
7148,6.668425,2.224871,0.2768106,1.335816,1.335588,1.353587,1.6655519921905413
7150,6.510151,3.466607,0.4245265,1.351551,1.350181,1.369225,2.564910240161119
7235,6.669524,11.66445,0.6580996,1.328786,1.323411,1.34194,8.778275809648807
7349,6.095034,0.9103417,0.138292,1.481977,1.47342,1.502464,0.6142751878065584
7415,6.901559,3.257206,0.5436557,1.35104,1.350245,1.370676,2.4108879085741353
7478,7.324109,5.640674,0.9436723,1.301538,1.295499,1.312992,4.333852718860301
7695,8.342732,6.835365,0.4933519,1.415162,1.410026,1.434606,4.830093657121941
7736,7.300421,12.99023,0.2308333,1.389889,1.386354,1.408936,9.346235562696014
8003,6.668844,5.036545,0.5236486,1.317308,1.311771,1.327836,3.82336173468923
8009,7.191054,9.54438,0.1434999,1.49688,1.492301,1.520592,6.376182459515793
8066,6.151953,5.600889,0.2632368,1.395562,1.390384,1.414119,4.013357342776602
8075,7.906891,5.576205,0.3332011,1.417806,1.411715,1.440394,3.9329816632176757
8093,8.156223,0.9022367,0.1347933,1.617779,1.613193,1.634983,0.5577008355282149
8130,6.146037,3.897734,0.5962303,1.282969,1.274442,1.28965,3.0380578174531103
8259,8.130758,4.994194,0.2803282,1.464896,1.463462,1.484223,3.4092481650574515
8324,8.472477,8.439868,0.2195776,1.412441,1.406464,1.429712,5.975377378594929
8338,6.570745,1.249143,0.1703279,1.490378,1.484515,1.51481,0.838138378317447
8382,8.075304,1.006842,0.1408299,1.40746,1.402498,1.425965,0.7153610049308684
8751,8.716295,11.48846,1.977896,1.363318,1.35637,1.372715,8.426838052457313
8819,8.152177,1.428113,0.1422504,1.414537,1.407979,1.43062,1.009597486668783
8825,6.686142,3.699886,0.5327486,1.268404,1.261997,1.275824,2.916961788199974
8869,7.61246,0.7587983,0.1427167,1.434293,1.427933,1.456778,0.5290399520878928
8984,6.619604,0.621163,0.1221167,1.607387,1.598367,1.623372,0.3864427172796595
9062,8.224669,42.31016,1.254109,1.833216,1.81982,1.882223,23.079746194665553
9079,8.812365,4.342344,0.7348137,1.48793,1.483789,1.511226,2.918379224829125
9233,6.665671,29.88076,0.7850063,1.279582,1.271969,1.284107,23.351969627581507
9334,7.228468,3.8067,0.2994134,1.557867,1.548614,1.586728,2.4435333696650616
9337,6.792837,1.96915,0.1877751,1.471118,1.463631,1.494338,1.3385398044208554
9364,7.385137,2.528785,0.4061184,1.295316,1.288564,1.30736,1.9522533497617571
9367,7.885448,10.53346,0.260538,1.531512,1.525274,1.559066,6.87781747710759
9510,14.43884,3.648917,0.6061624,1.754195,1.741838,1.781389,2.0801091098766102
