ra_bin,dec_bin,candidate_count,median_f444w_weight,median_mu,median_z
0,4,29,0.4290739,1.255446,7.301801
0,5,275,0.4451689,1.187016,7.422123
0,6,104,0.47190540000000003,1.157299,7.3013935
1,3,40,0.9015043,1.432751,6.7900290000000005
1,4,206,0.87292105,1.403108,7.2060525
1,5,165,0.74644,1.218963,7.053576
1,6,190,0.4428617,1.1733845,7.316679000000001
2,2,24,0.1248275,1.3978545,6.7292629999999996
2,3,184,0.20492725,1.6602175,7.7710349999999995
2,4,296,0.87510735,1.5757585,7.155335
2,5,61,0.442263,1.236657,7.327329
2,6,20,0.4344717,1.2019605,6.7190905
3,0,19,0.07824142,1.298227,6.713251
3,1,68,0.08244909,1.4298425,7.1167985
3,2,213,0.2361257,1.632102,6.754568
3,3,234,0.2006159,3.5368060000000003,7.2021795
3,4,141,0.1737748,1.697943,7.205775
3,5,119,0.09034715,1.381674,6.796553
3,6,4,0.012075414999999999,1.2763045000000002,7.71819
4,0,170,0.1965557,1.3267685,7.685138
4,1,262,0.2558639,1.7379435,7.504989500000001
4,2,236,0.26591525,4.1317395,6.9050270000000005
4,3,181,0.1472662,2.822703,6.761765
4,4,154,0.09615063,1.8400595000000002,6.8325565
4,5,64,0.11310705,1.4463335,6.7340725
5,0,248,0.17895794999999998,1.303089,7.6919005
5,1,238,0.1575217,1.5164784999999998,7.306588
5,2,213,0.1126843,1.671701,6.701924
5,3,187,0.1724674,1.455599,6.732833
5,4,40,0.093037855,1.4156295,6.903173
6,0,56,0.04208389,1.2323285,6.691317
6,1,108,0.02822933,1.286817,9.593081
6,2,78,0.027990965,1.2974735000000002,9.2495145
6,3,12,0.048470765,1.3200665,7.651356
