instrument,fwhm_px
HST,3.040801823730694
HST,3.0195155484372243
HST,2.977570944382411
HST,3.0911613588935287
HST,3.1161428588476037
HST,2.9243248361587484
JWST,3.116838358622785
JWST,3.0695409923519827
JWST,3.1651222915323105
JWST,3.1667211065166785
JWST,3.322136385010407
JWST,3.050549234787633
JWST,3.222665070312932
JWST,3.3908939332139036
JWST,3.1351878775776822
JWST,3.3800708321699395
JWST,3.187351248512985
JWST,3.371766620482464
JWST,3.2917014334633756
JWST,2.8129974673364297
JWST,3.1742151449390303
JWST,2.7485060281336806
JWST,3.422041959788097
JWST,3.1762772024815047
JWST,2.68986555179157
JWST,3.138037482124834
JWST,3.3371289637641164
JWST,3.424629077385232
JWST,3.4866118049850616
JWST,3.485066213352982
JWST,2.8771743118016286
