mag_bin,n,median_color,color_std
"(17.217, 17.717]",137,0.6733292199854972,0.023054420074069253
"(17.717, 18.217]",466,0.6810872020264185,0.046938517315017664
"(18.217, 18.717]",634,0.7740591123921661,0.06102208507150371
"(18.717, 19.217]",653,0.9367223037251406,0.07884451094107606
"(19.217, 19.717]",582,1.1588351643557466,0.09837655260793485
"(19.717, 20.217]",510,1.4455821340863046,0.132224670548213
"(20.217, 20.717]",434,1.8699877560559024,0.16654952992204994
"(20.717, 21.217]",262,2.2392219693169864,0.1796171083434271
"(21.217, 21.717]",24,2.5017808035225,0.4661363466209308
"(21.717, 22.217]",2,-0.34357100307707,1.2283019019031907
"(22.217, 22.717]",6,0.336652169966019,0.2653186177848934
