line,rest_A,predicted_obs_A,detected,matched_peak_A,residual_kms
[O II] 3727 (O+),3727.0,3741.1365109999997,False,,
[Ne III] 3869 (Ne++),3868.75,3883.42416875,True,3885.0006900006797,121.70423839709215
H-gamma (H),4340.47,4356.93340271,True,4360.704415090806,259.47632573105665
H-beta (H),4861.33,4879.769024689999,False,,
[O III] 4959 (O++),4958.91,4977.71914563,True,4978.976397206023,75.72033079271938
[O III] 5007 (O++),5006.84,5025.83094412,True,5028.398287199227,153.14285355165345
[O I] 6300 (O0),6300.3,6324.1970378999995,False,,
[N II] 6548 (N+),6548.05,6572.88675365,False,,
H-alpha (H),6562.79,6587.68266247,False,,
[N II] 6583 (N+),6583.45,6608.42102585,True,6609.126105405144,31.986087462530232
[S II] 6716 (S+),6716.44,6741.915456919999,False,,
[S II] 6731 (S+),6730.82,6756.350000259999,False,,
[S III] 9069 (S++),9068.6,9102.9971998,True,9104.82474516771,60.187244472020794
[S III] 9531 (S++),9531.1,9567.2514623,True,9563.534755668286,-116.46402534492951
