wavelength_A,flux,error
2989.093198323402,4.508127456271304e-15,2.657392759651772e-16
2994.584102095712,3.845985284260146e-15,2.5086439802954644e-16
3002.820635421098,4.317950771920822e-15,2.514708471500009e-16
3005.5661936534084,3.9563981465171125e-15,2.422952833395299e-16
3008.311775341795,3.5670365824220975e-15,2.333025462967678e-16
3013.803008832723,3.6162911247884615e-15,2.2938478068770026e-16
3016.5486605082137,3.962239285721378e-15,2.3296802122216157e-16
3019.2943353856795,3.840784501964005e-15,2.289423118518783e-16
3022.040033401582,3.681356807664748e-15,2.2280357291555076e-16
3027.531498594514,3.857808170137922e-15,2.34051032254565e-16
3030.2772656444386,3.656887296367992e-15,2.1854813232810436e-16
3038.5147038453133,3.865543275012248e-15,2.0971969320733e-16
3046.7523462877953,3.71090978719445e-15,1.995569786712831e-16
3052.2442205358716,3.336091567045555e-15,1.9189101286127647e-16
3054.9901912550445,3.872362313754119e-15,1.9628801383003274e-16
3060.482199565623,3.6114816717139515e-15,1.8770899944244517e-16
3063.2282370297985,3.1420945523447184e-15,1.7789828003554164e-16
3076.958754894453,3.5290556250672147e-15,1.7660983704364944e-16
3079.7049241306704,3.864530647123806e-15,1.801362337264161e-16
3082.451115106136,3.5395073763616223e-15,1.7486562415168543e-16
3085.1973277571924,4.251509507538194e-15,1.844632618327953e-16
3087.9435620201743,3.652453078889116e-15,1.7343130620440828e-16
3093.436095127236,3.27179668415127e-15,1.6671743189689508e-16
3096.182393843963,3.220757655123278e-15,1.648429612195111e-16
3104.421417882706,3.445490319106421e-15,1.6676866415531416e-16
3107.1678016461615,3.602345574344867e-15,1.6765337683383148e-16
3109.914206512053,3.920067209343481e-15,1.7296075293242891e-16
3112.6606324166705,3.2325047315522742e-15,1.621301132128026e-16
3115.407079296302,3.465958658518584e-15,1.6512744517578035e-16
3118.153547087228,3.85729190355657e-15,1.6938084759019742e-16
3123.6465451480676,3.755473037582446e-15,1.6761868818766345e-16
3131.8861974808,4.181245159948135e-15,1.7127543530007867e-16
3137.379401786607,4.397180116224621e-15,1.7352312986984656e-16
