specObjID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err
299553174241437696,145.64341,-0.3001479,0.1254306,141.8279,2.550789,36.50489,2.028913,60.51614,2.64468,19.75354,1.54015
300639491360581632,148.24551,-0.97315015,0.04863385,821.1564,7.370894,185.9286,3.838354,130.6652,3.709748,218.9889,3.542726
300726627657082880,147.62725,1.220489,0.1306843,467.7469,5.964449,91.38157,3.619728,144.1277,4.439923,262.4843,4.834754
300754115447777280,148.33526,0.72067232,0.02078303,282.2596,3.608432,94.89962,3.100027,114.8077,3.430614,53.88492,1.957381
300775281046611968,148.92037,0.54011713,0.04658309,551.4218,5.021487,211.7393,3.257212,578.579,5.857135,53.89565,1.515585
301795903134525440,149.60534,-0.3370553,0.03283368,137.4945,2.686824,31.62639,2.196714,46.03626,2.496699,39.63854,1.887835
301847030425217024,149.13964,0.75088167,0.04617104,183.2371,3.144979,46.80318,2.271965,55.87777,2.248566,36.81038,1.591983
301861598954285056,149.25958,0.17999225,0.06277732,121.9598,3.149212,28.65372,2.079393,14.1228,2.324806,64.29283,2.712112
301868196024051712,149.36235,0.53310201,0.0814579,354.6966,4.168931,66.23798,2.7437,35.93892,2.759582,140.7169,2.901335
301916574535673856,150.48578,0.18780168,0.06621388,358.1598,4.023693,57.91629,2.41033,18.71858,2.305773,145.9717,2.661162
302996574479345664,151.14406,0.54171062,0.06592298,204.5621,2.885601,62.22377,2.189395,73.77646,2.456995,36.83607,1.516436
304131820218247168,153.46911,0.55096244,0.02064876,375.7612,5.155197,96.5528,3.4632,17.33158,2.70822,128.6645,3.010689
304143914846152704,153.56648,0.075081345,0.1028836,120.0136,4.143723,26.85926,2.503107,26.6061,2.728491,59.334,2.695904
305129626584246272,155.53071,-0.07096126,0.1254967,245.5198,5.104648,54.27186,3.57944,24.72001,3.450709,145.4703,4.386718
305133474874943488,154.89266,-1.0093375,0.04329554,51.59486,1.790631,15.42348,1.88111,14.84916,1.944476,12.20652,1.883546
305289055770273792,155.29277,0.65518067,0.1132934,305.096,4.288389,69.63702,2.903499,34.6841,3.119706,112.1734,3.061206
306353933754853376,155.5681,0.15442005,0.03361765,324.852,3.448989,98.23724,2.529471,227.3545,3.684198,27.90214,1.315031
306362729847875584,155.7545,0.54004505,0.1675089,160.3807,3.103717,33.10512,2.286324,152.4834,4.125645,95.90942,2.335924
306369052039735296,156.31315,0.89267699,0.02274756,336.9454,3.893216,105.2221,2.960728,187.2306,3.751581,46.63018,1.797173
306383620568803328,156.33256,0.63542236,0.02143447,1759.702,13.31017,516.0995,5.96251,963.1175,9.051975,257.7149,3.157072
307383901540608000,158.37111,-0.86040846,0.04044293,104.5463,2.886477,32.28546,2.397336,31.54581,2.562507,21.52982,1.728168
308504303151114240,161.14264,-0.4345949,0.08483262,192.7444,2.166228,35.06054,1.588433,19.90757,1.593817,62.31077,1.477626
308528217529018368,160.77378,-0.054898489,0.09530569,108.1738,2.046478,25.97646,1.635513,111.6197,2.366432,61.85086,1.626939
308531241185994752,159.95013,-1.2103491,0.05003859,59.87296,1.517271,14.72583,1.117992,9.25251,1.132124,13.49339,1.065882
308661533313886208,160.84801,0.35426088,0.08175586,103.9271,1.493284,22.80271,1.271203,12.66337,1.200053,31.02065,1.039385
309634875932043264,162.20399,-0.67294017,0.07635476,0.0,-0.7602599,52.4179,2.039165,37.68789,2.189019,0.0,-0.7602599
309642572513437696,162.55556,-0.20152795,0.07256673,186.2805,3.928558,43.46845,2.886971,97.00899,3.578622,132.5598,3.554504
309665387379714048,162.15165,-0.23600393,0.02600579,57.74125,1.444458,18.78741,1.637981,28.52786,1.694983,4.798789,0.8387833
309792930728536064,162.50755,0.96074747,0.05032968,229.265,3.5368,63.05247,2.448313,15.03971,2.21593,84.52533,2.570652
310761875333736448,164.03733,-0.77794523,0.07590246,1209.059,8.307609,309.3069,3.964672,444.341,5.196507,305.3116,3.183642
310766548258154496,163.96128,-0.11918291,0.1083617,173.8069,4.094866,37.29548,1.737,10.22154,1.689168,53.30987,1.749644
310827571153496064,162.57304,-1.1816376,0.1642897,250.1649,3.590679,77.16335,2.33264,41.61596,2.481192,82.14866,2.208647
310871551618607104,163.46452,1.2323438,0.1335472,1071.544,7.993579,260.9262,3.69865,208.8557,3.69024,343.9464,3.594118
310881172345350144,163.19396,0.31800284,0.09505691,214.2001,3.278102,46.64977,2.480048,16.73481,2.471948,108.5534,2.691576
310908660136044544,164.47353,0.48863994,0.06548813,107.4496,2.061718,24.27267,1.678993,19.92236,1.794559,72.18519,1.855373
310916906473252864,164.37646,0.706138,0.08506013,139.6052,2.440596,33.69618,1.890296,9.843584,1.828085,56.07029,1.903683
311899869851707392,165.61969,-0.96900878,0.08433978,169.232,3.055263,44.2532,2.404681,12.40389,2.283245,63.75826,2.285237
312030986613319680,166.04714,0.91243712,0.1523927,568.3568,6.622844,136.5145,3.904268,45.62321,4.029432,234.9397,4.573006
313024120356890624,167.51669,-1.004932,0.1098315,992.7139,9.493852,258.05,4.150814,237.968,4.338962,258.6942,3.653179
313055731316189184,167.10882,-1.0191938,0.03871421,68.06753,1.949695,23.51672,1.787189,14.6946,1.875165,19.37557,1.606629
313130223228971008,167.28499,0.70729444,0.03854868,740.9831,8.290664,120.7856,3.863946,22.06023,3.474789,322.1586,5.692175
314131329975347200,169.68471,-0.77330934,0.07653298,175.6214,2.576502,46.58437,2.097911,21.01777,1.943061,55.55056,1.798878
314216542126499840,168.21273,1.1832982,0.1271927,196.4387,3.586971,50.22213,2.175886,27.90033,2.196521,63.07771,1.908916
315275090705016832,170.80562,-1.1821838,0.06336983,74.19341,2.742721,20.25574,2.361685,13.41126,2.278053,29.44497,2.002336
315331440675940352,169.48811,-0.90103053,0.04301266,133.0998,2.472044,35.71848,1.959536,56.64311,2.316363,64.01262,2.227746
315361402367797248,170.27059,0.78089633,0.07048112,59.01843,2.709061,13.43521,2.178036,15.13283,2.429868,43.39851,2.699395
315426548431742976,171.73161,0.67974611,0.08978941,1759.014,11.47623,335.5576,4.674841,202.9771,4.299623,677.4561,5.887167
316381199436113920,172.99912,-0.59866885,0.07556868,54.91331,2.976452,13.47653,2.302454,15.48195,3.027601,39.62859,3.385238
316396592598902784,172.52888,-0.12113628,0.1147687,312.1414,4.281886,51.28024,2.477137,22.86733,4.103466,168.4845,3.355889
316426004534945792,171.91224,-0.04561258,0.04001609,439.5203,4.715597,130.4752,3.024968,190.6507,4.001272,71.8245,2.252658
316427653802387456,171.87052,-0.45307674,0.07275676,44.45797,2.05509,16.16104,1.811716,51.66584,2.477072,26.05061,1.820951
