obs_wave_A,rest_wave_A,literature_match,residual_A,snr,ew_A,type
3914.71,3869.46,[Ne III] 3869,0.7,11.08,-4.277,emission
3982.91,3936.86,Ca II K,2.09,-8.38,2.701,absorption
4015.13,3968.72,Ca II H,-0.87,-5.67,1.94,absorption
4019.76,3973.29,Ca II H,3.7,-5.68,2.031,absorption
4392.38,4341.6,H-gamma,-0.08,10.23,-0.97,emission
4741.33,4686.52,He II 4686,0.84,7.62,-1.373,emission
4919.26,4862.4,H-beta,-0.28,21.91,-3.984,emission
5018.8,4960.78,[O III] 4959,1.86,30.04,-8.846,emission
5067.57,5008.99,[O III] 5007,2.15,44.81,-25.764,emission
5229.98,5169.52,Mg b,-5.78,-7.1,1.42,absorption
5245.66,5185.02,no match,,-6.12,0.876,absorption
5261.39,5200.56,no match,,6.06,-1.183,emission
5333.35,5271.7,no match,,-5.99,1.227,absorption
5392.62,5330.28,no match,,-5.09,0.779,absorption
5947.03,5878.28,no match,,6.47,-1.021,emission
5964.86,5895.9,Na D,3.0,-16.09,3.244,absorption
6375.29,6301.59,[O I] 6300,1.29,8.69,-1.407,emission
6626.74,6550.14,[N II] 6549,2.09,32.56,-9.863,emission
6642.02,6565.24,H-alpha,0.63,44.67,-26.133,emission
6663.46,6586.43,[N II] 6585,2.98,47.18,-30.508,emission
6796.73,6718.16,[S II] 6716,1.72,20.72,-4.144,emission
6812.4,6733.65,[S II] 6731,2.83,17.7,-3.321,emission
7221.04,7137.57,[Ar III] 7135,1.77,6.25,-0.561,emission
8600.03,8500.61,Ca II IR-1,2.59,-5.25,1.268,absorption
8643.71,8543.79,Ca II IR-2,1.7,-11.42,3.003,absorption
9179.1,9072.99,[S III] 9069,4.39,8.62,-2.567,emission
