specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84,sfr_tot_p50
299489677444933632,266,51630,1,146.71421,-1.0413043,0.02122228,472.5904,10.04917,119.4956,6.650275,68.39606,6.610639,224.1136,8.453454,10.29471,10.20275,10.38957,-0.5273424
299490502078654464,266,51630,4,146.62857,-0.76513683,0.06465632,99.40005,3.448143,25.64047,2.906838,21.44437,3.302969,51.59155,3.155578,10.56586,10.4713,10.65747,-1.15523
299491051834468352,266,51630,6,146.63167,-0.98827781,0.05265425,127.3058,2.640886,38.33226,2.279489,35.46671,2.388157,25.78963,1.602235,9.363875,9.29432,9.457402,-0.4110092
299492701101910016,266,51630,12,146.9639,-0.54500256,0.05598059,195.5197,3.023592,42.86956,2.540211,16.26119,2.387796,61.2213,2.193481,9.958716,9.864082,10.05901,-0.1258186
299493250857723904,266,51630,14,146.94999,-0.59220225,0.06477907,229.1325,3.449572,60.80691,2.776852,29.73346,2.717081,73.87218,2.368429,9.767632,9.688359,9.858889,-0.2007935
299494075491444736,266,51630,17,146.59272,-0.76025604,0.06495924,206.2126,3.444913,46.94843,2.55519,14.43169,2.63401,74.37387,2.565654,10.13885,10.05214,10.23553,0.0820602
299499298171676672,266,51630,36,147.32951,0.028902695,0.04808582,510.6647,6.506711,91.71097,3.794378,55.35548,3.821943,367.8763,5.501723,10.64257,10.55161,10.73338,-0.02475803
299500672561211392,266,51630,41,146.57134,-0.95721148,0.06518305,351.3045,4.348549,66.98206,2.776938,18.08399,2.641367,147.909,3.140503,10.67823,10.5874,10.77742,0.6109347
299500947439118336,266,51630,42,146.56561,-1.0847419,0.09755617,169.8101,5.768546,24.93788,4.248411,135.8997,5.443582,248.9264,5.930826,10.67565,10.57952,10.76747,-0.7962662
299503421340280832,266,51630,51,146.51283,-0.84576492,0.06490172,1151.211,9.593594,257.9409,4.88587,95.84792,4.246964,563.4586,6.08935,10.87028,10.76188,10.96667,0.8837754
299504245974001664,266,51630,54,146.44831,-0.71339967,0.1146793,919.3564,8.633987,194.093,3.75711,203.211,8.831159,384.8589,4.72942,10.51968,10.40668,10.66229,0.675212
299506444997257216,266,51630,62,146.90125,-0.4131573,0.05654794,131.2589,4.462103,34.24051,3.790666,46.40644,4.171093,64.89413,3.72322,10.33381,10.2418,10.42076,-0.9101483
299507544508884992,266,51630,66,146.86432,-0.46407191,0.06510994,435.4091,5.183943,104.5165,3.677787,16.89602,3.199192,149.0907,3.430533,10.14619,10.05422,10.24702,0.2748753
299508644020512768,266,51630,70,146.8833,-0.49469887,0.08376556,417.9288,6.584504,79.06378,4.534498,33.67719,4.405496,225.8526,5.593966,11.29423,11.19738,11.39267,0.4195795
299508918898419712,266,51630,71,146.85967,-0.098938627,0.1253916,234.3734,3.918873,44.53191,2.885862,49.30866,3.187995,158.4377,3.405399,10.66728,10.56994,10.76627,0.3161958
299509193776326656,266,51630,72,146.85676,-0.27404021,0.02196459,168.5709,2.579092,53.58604,2.570964,111.6831,3.207255,16.38062,1.387947,8.460274,8.395155,8.551243,-1.112155
299511667677489152,266,51630,81,146.11835,-0.8681462,0.127676,204.2957,3.723447,39.90464,2.667855,19.36009,2.735669,107.4403,2.900706,10.52625,10.42412,10.62764,0.05640164
299513316944930816,266,51630,87,146.23485,-1.1527694,0.06741422,625.9243,5.773787,117.5592,3.160311,51.88348,2.842988,187.5996,2.99105,9.703469,9.605868,9.816233,0.3415436
299517714991441920,266,51630,103,146.59449,-0.13317431,0.0456523,76.40859,2.839703,15.31487,2.407868,12.30203,2.256964,17.57924,1.596452,9.605663,9.505731,9.714461,-0.4948
299517989869348864,266,51630,104,146.74174,-0.52469154,0.1315038,174.6208,3.75349,39.86888,2.717322,68.8668,2.989341,129.9966,3.173395,10.57511,10.48054,10.67777,0.3770837
299518539625162752,266,51630,106,146.62966,-0.46568888,0.0893447,143.5105,3.736548,28.48076,3.250213,33.11293,3.538887,116.9966,3.449952,10.79986,10.70343,10.89749,-0.04048941
299518814503069696,266,51630,107,146.49052,-0.36931044,0.1231987,555.7532,6.709946,111.3009,4.588033,34.62197,3.919865,256.0729,4.786215,11.05481,10.9602,11.15189,1.085434
299519089380976640,266,51630,108,146.7517,-0.40839151,0.03580831,1311.788,11.60913,333.1961,5.413537,210.5195,4.986704,359.1024,4.67798,9.92328,9.845766,10.02416,0.05681415
299524586939115520,266,51630,128,145.89059,-1.0976161,0.06248942,350.3976,4.863601,83.53896,3.405174,37.32424,3.323633,129.4616,3.283788,10.24447,10.17316,10.33719,0.4240833
299528160351905792,266,51630,141,146.37378,-0.36838682,0.05290708,737.1107,8.049224,149.5079,4.917249,95.27357,4.747185,407.2752,6.169335,11.09292,10.97,11.10596,0.1309832
299529534741440512,266,51630,146,146.35204,-0.33269118,0.05217639,1334.967,10.99427,266.446,5.0481,86.13953,4.271465,489.7381,6.155217,10.31967,10.22864,10.40989,0.533149
299529809619347456,266,51630,147,146.29988,-0.12001413,0.03070351,307.6506,5.760308,58.5244,4.004864,594.889,7.784786,269.4241,5.051071,10.5907,10.50047,10.6798,-0.7614397
299530909130975232,266,51630,151,146.36539,-0.34351527,0.05248393,1031.952,8.5541,218.4372,4.912825,145.1758,4.648521,284.6306,4.713027,10.39559,10.30113,10.49203,0.2163385
299531733764696064,266,51630,154,146.39902,-0.35038267,0.05354775,376.7933,4.230413,83.58832,2.909524,70.26048,2.801459,107.1019,2.328439,9.64341,9.552347,9.743503,-0.1013138
299532008642603008,266,51630,155,146.32316,-0.029989881,0.02170876,2255.693,15.7854,663.3409,7.208734,2956.007,23.91256,85.94353,1.881054,8.618754,8.544708,8.684018,-0.276271
299532558398416896,266,51630,157,146.30086,0.035479627,0.021758,2292.528,16.9811,638.0527,8.117599,780.1143,9.821332,465.8451,5.742815,9.370238,9.286871,9.486657,-0.2561884
299532833276323840,266,51630,158,146.32958,-0.30622363,0.03645184,145.3708,2.529001,36.18832,2.318291,114.1467,3.21343,73.52751,1.929005,9.682122,9.594073,9.782871,-0.3905433
299535582055393280,266,51630,168,146.22225,-0.3758881,0.06740563,311.4394,4.491274,64.8153,2.882532,15.68244,2.852173,91.55006,3.216102,10.60537,10.5131,10.69602,0.4338767
299536681567021056,266,51630,172,146.28301,0.064056069,0.0215799,136.375,2.585506,28.29921,2.410678,28.87652,2.287023,38.69307,1.757945,8.997279,8.9031,9.090311,-1.1372
299537231322834944,266,51630,174,146.23184,0.068229156,0.02160817,0.0,-0.7688856,46.34507,6.921701,132.5827,8.37802,0.0,-0.7688856,10.83038,10.75386,10.89984,-1.88822
299538055956555776,266,51630,177,146.16563,-0.064166288,0.0632066,78.06777,4.780887,22.74333,3.988343,39.65755,4.741744,49.33593,4.546391,10.46866,10.37871,10.55623,-1.572315
299538880590276608,266,51630,180,145.99396,-0.13584762,0.0630479,59.09758,3.320358,15.02143,2.645438,18.65338,3.125456,44.0032,3.264544,10.61892,10.52513,10.71381,-0.4738789
299541354491439104,266,51630,189,145.8774,-0.050187511,0.09099656,168.7761,2.980114,37.64988,2.335013,15.99098,2.814936,66.1244,2.316749,10.70655,10.60269,10.8131,0.1077921
299544103270508544,266,51630,199,145.82273,-0.16028957,0.06265516,473.5915,4.960597,119.7019,3.138772,38.83449,2.581303,144.3199,2.701742,9.779675,9.691397,9.900231,0.01975928
299546852049577984,266,51630,209,145.59655,-1.2053233,0.1473114,1584.278,12.58163,472.8501,31.42236,1647.43,13.33863,230.83,3.172207,9.402138,9.246933,9.635912,1.436788
299548501317019648,266,51630,215,145.64788,-0.77176336,0.02165231,110.7399,2.381031,33.48423,2.171841,20.9408,2.098912,25.88362,1.644201,9.256276,9.191234,9.348593,-0.5833332
299548776194926592,266,51630,216,145.75973,-0.81389214,0.06763429,472.3678,7.710236,122.3304,5.087923,966.6317,9.964752,547.7561,7.527822,10.80751,10.7108,10.90287,-0.38664
299550150584461312,266,51630,221,145.74475,-0.076351718,0.06259136,724.7258,6.389958,194.5769,3.490486,107.4063,3.052692,229.4589,3.151566,10.07151,9.993697,10.17097,0.327821
299550700340275200,266,51630,223,145.6012,-0.001388682,0.1458226,850.1395,7.674769,109.6307,4.157013,130.8339,4.614863,427.1596,4.936272,10.94257,10.84735,11.03522,0.9163785
299552349607716864,266,51630,229,145.68939,-0.011335705,0.09768173,270.9315,3.600594,57.52115,2.602858,25.31132,2.533188,88.04391,2.432146,10.28719,10.19302,10.38187,0.3071693
299552624485623808,266,51630,230,145.70269,-0.048527481,0.09832241,486.8309,5.050817,103.9028,2.861259,27.63784,2.452554,155.741,2.850807,10.38063,10.30156,10.47236,0.7173395
299553174241437696,266,51630,232,145.64341,-0.3001479,0.1254306,141.8279,2.550789,36.50489,2.028913,60.51614,2.64468,19.75354,1.54015,9.07505,8.989124,9.223822,-0.07874525
299557297410041856,266,51630,247,145.37115,-1.0810148,0.09888671,222.7212,3.230571,49.36584,2.493793,24.30521,2.295768,80.86584,2.636434,10.75458,10.63135,10.90326,-0.004746808
299559221555390464,266,51630,254,145.39427,-0.55765535,0.1259125,655.6909,6.363143,157.7448,3.424962,80.88867,3.19178,313.3217,4.129543,10.50753,10.39972,10.62481,0.5638793
299562245212366848,266,51630,265,145.39106,-0.41559587,0.03587863,150.1607,2.613316,33.75164,2.055372,17.00939,2.137769,54.15761,1.884659,9.719369,9.627297,9.820531,-0.6342857
299565818625157120,266,51630,278,145.51958,-0.2775546,0.09826267,210.204,3.037643,52.01683,2.339695,34.71779,2.353605,61.65749,2.018251,10.28323,10.20209,10.3812,0.3088091
299567742770505728,266,51630,285,145.35048,-1.0805558,0.07141443,109.4993,2.945569,33.09707,2.57707,22.76943,2.841714,52.34507,2.657699,10.22944,10.1404,10.32597,0.05845378
299569117160040448,266,51630,290,145.1963,-0.87997986,0.118615,133.9965,4.148329,32.09054,2.476033,28.0456,2.704547,68.26641,3.145915,10.4884,10.38037,10.59056,-0.4871002
299569392037947392,266,51630,291,145.36211,-0.71402013,0.1315616,179.5962,2.84467,50.89903,2.28608,15.69489,2.10017,58.15033,1.837542,10.24234,10.17335,10.33113,0.5304826
299572415694923776,266,51630,302,145.3206,-0.25286139,0.05195406,390.5861,4.782414,100.7561,3.012126,25.6267,2.540199,151.7201,3.259198,10.07888,9.995679,10.17451,0.02538303
299576813741434880,266,51630,318,145.2754,-0.47347782,0.1482937,127.7553,3.123969,24.91961,3.866444,38.00034,3.016786,46.22643,2.578492,11.02895,10.91856,11.14643,0.5325284
299577088619341824,266,51630,319,145.16739,-0.4823431,0.06237372,118.0372,2.249772,35.12086,1.940183,21.07775,2.098637,32.00217,1.619299,9.530203,9.459841,9.624979,-0.2674824
299578188130969600,266,51630,323,145.54119,0.79539687,0.09888644,232.5851,3.154212,65.53061,2.818776,26.8483,2.318933,75.80746,2.315226,9.964664,9.897678,10.0542,0.3440312
299578463008876544,266,51630,324,145.19872,0.93266524,0.06147218,316.7157,3.869589,100.3149,3.023209,136.573,3.498331,50.85091,1.911729,9.556428,9.485744,9.648721,-0.1727699
299581211787945984,266,51630,334,145.34769,1.0774531,0.08884182,403.3705,4.359007,103.2128,3.061851,59.81681,2.790186,97.73875,2.382014,9.841748,9.747566,9.999209,0.3352649
299582036421666816,266,51630,337,145.26325,0.99193054,0.05720619,180.8174,3.342798,41.71413,2.539734,15.20661,2.510475,65.8357,2.419622,10.17545,10.08314,10.23681,-0.2453488
299583135933294592,266,51630,341,145.34123,0.54730699,0.09790488,174.8124,3.792407,33.71523,2.95185,18.5977,2.937178,72.38217,3.110757,10.69117,10.59619,10.78826,0.6518281
299588083735619584,266,51630,359,145.28856,0.34651307,0.06460119,155.0861,2.713421,32.05624,2.166479,12.76922,2.183434,46.9244,1.971767,9.92829,9.843597,10.02864,0.03468393
299591107392595968,266,51630,370,145.61284,0.97233302,0.05735964,404.0885,4.68324,106.4664,3.231663,53.55283,3.116404,130.4489,2.82396,9.639505,9.566569,9.733171,-0.1979035
299592481782130688,266,51630,375,145.7134,1.167356,0.06218995,0.0,-0.8174241,72.68593,3.833393,26.1153,3.02151,0.0,-0.8174241,10.17625,10.07797,10.27583,-0.6459082
299593581293758464,266,51630,379,145.66358,0.97364599,0.1353705,600.7238,6.603685,129.7674,3.651696,26.49664,3.401081,234.5796,4.26261,10.90862,10.82504,11.00753,1.208628
299594680805386240,266,51630,383,145.59403,0.30938427,0.04570889,586.3332,6.867763,113.9731,3.847119,37.4241,3.757887,269.3496,4.707122,10.50634,10.40837,10.60452,0.220492
299597154706548736,266,51630,392,145.47131,0.15515025,0.1225,576.2369,6.277106,121.3313,3.905878,452.449,5.716667,520.5421,5.17182,10.83282,10.73276,10.92868,0.5681606
299599078851897344,266,51630,399,145.55565,0.18343852,0.120346,96.39385,3.502309,29.89396,2.659805,14.3692,2.793613,47.33845,3.237979,10.52048,10.41586,10.61769,-0.7429063
299600178363525120,266,51630,403,145.99263,0.78807767,0.03801033,993.2001,9.111692,214.1007,4.768551,107.3838,4.515635,380.6035,5.656456,10.11601,10.02681,10.20623,0.4564192
299601277875152896,266,51630,407,145.89128,1.1165244,0.05158934,3601.152,23.90178,998.5123,10.1605,2524.677,20.69341,441.258,4.637217,8.311054,8.141227,8.574471,0.4230646
299602377386780672,266,51630,411,146.01513,0.8235057,0.1232092,102.78,3.917822,20.05196,3.250397,35.29883,3.139234,74.64108,3.427151,10.8927,10.79336,10.98929,0.06027856
299602927142594560,266,51630,413,146.01225,0.76563817,0.0374546,725.4607,6.299401,214.1368,3.881145,197.4061,3.864455,161.5144,2.73844,9.420765,9.328526,9.548104,-0.3197586
299604851287943168,266,51630,420,145.89356,1.0284222,0.05329375,267.5282,3.874518,61.06378,2.786848,21.92434,2.540144,86.58644,2.464135,10.00599,9.924275,10.09746,0.04179282
299607050311198720,266,51630,428,145.79259,0.52472729,0.1222728,196.0961,5.006794,43.1407,3.539336,50.93515,3.686884,132.1341,3.75264,10.689,10.58738,10.79093,0.335008
299607600067012608,266,51630,430,145.80019,0.41417226,0.02524959,374.9436,5.602103,70.19812,3.546628,49.28839,3.722379,198.3827,4.582889,10.64084,10.54976,10.73814,-0.06158126
299608424700733440,266,51630,433,145.79648,0.56150148,0.07998672,198.1381,3.222979,53.30949,2.711504,34.14091,2.705215,51.09724,2.075826,9.866174,9.787848,9.960643,0.07959186
299609249334454272,266,51630,436,145.72946,0.12689565,0.03669919,225.3687,3.504264,49.74669,2.491828,15.15882,2.424595,89.19385,2.776854,10.07409,9.981021,10.16908,-0.3499999
299609799090268160,266,51630,438,145.77515,0.32021602,0.02492348,2154.871,15.82008,695.6219,7.29741,4605.134,32.47083,51.04001,1.513543,8.344721,8.297695,8.399385,-0.2318827
