specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84,sfr_tot_p50,N2,log_OH
304063925375232000,270,51909,258,152.31119,-1.0453774,0.07119782,350.802,5.680297,91.15741,3.740744,20.89183,3.364567,152.8503,4.338308,10.44979,10.36006,10.54624,0.3069846,-0.36079576525545803,8.69434641380439
300620799662909440,267,51608,20,148.72704,-1.1209844,0.08433501,255.8474,3.203324,62.44374,2.522492,12.67478,2.276222,98.81001,2.212105,10.07819,9.975739,10.1838,0.2422513,-0.4131800646493245,8.664487363149885
300786001284982784,267,51608,621,148.92474,0.22252607,0.03546179,420.5194,4.622836,106.9028,2.950669,202.5237,4.078989,88.06135,2.256118,9.520961,9.435987,9.618425,-0.3285406,-0.6790006970826604,8.512969602662883
299565818625157120,266,51630,278,145.51958,-0.2775546,0.09826267,210.204,3.037643,52.01683,2.339695,34.71779,2.353605,61.65749,2.018251,10.28323,10.20209,10.3812,0.3088091,-0.5326551348583343,8.59638657313075
302984479851440128,269,51910,427,150.91499,0.39097085,0.04454955,448.1151,5.811275,106.5143,3.668913,27.09401,3.191468,196.9852,4.179543,10.00337,9.927868,10.09716,0.1677826,-0.3569559807141078,8.69653509099296
303015541054924800,269,51910,540,151.17115,0.91421799,0.04583271,88.36258,3.008585,27.10824,2.536206,35.92679,2.626376,12.72569,1.599127,9.104479,9.047264,9.187401,-0.3146882,-0.841587048321964,8.42029538245648
300760437639636992,267,51608,528,148.16127,1.1031797,0.06287378,93.78834,2.199248,27.30935,1.820855,22.63283,1.943323,20.37842,1.333207,9.542772,9.471795,9.635749,-0.1874999,-0.6629783403410383,8.522102346005608
300754115447777280,267,51608,505,148.33526,0.72067232,0.02078303,282.2596,3.608432,94.89962,3.100027,114.8077,3.430614,53.88492,1.957381,8.857337,8.789945,8.955684,-0.8698019,-0.7191814793233042,8.490066556785717
300771157878007808,267,51608,567,148.32598,0.88944426,0.09498237,258.3044,3.310326,56.68415,2.169563,38.59486,2.262063,105.9083,2.231333,10.17574,10.08394,10.2738,0.1972916,-0.3872018071180517,8.679294969942712
300782427872192512,267,51608,608,148.63264,1.0879794,0.1247545,248.6414,3.321208,61.9308,2.218984,21.10355,2.227959,76.84927,2.218026,10.25037,10.15856,10.40684,0.6984149,-0.5099336960233163,8.609337793266711
